id,role,phase,region,topic,question_en,question_es,answer_en,answer_es,references,ref_types
"humanitarian-staff-001","humanitarian-staff","pre","generic","enso-forecast","When should the EHP-Colombia translate an ENSO forecast into an operational early-action trigger?","¿Cuándo debe el EHP-Colombia traducir un pronóstico ENSO en un disparador operacional de acción temprana?","Follow the IASC SOPs three-phase logic: Phase 1 (WATCH) opens once IRI/WMO probability exceeds 55% — convene the Global ENSO Analysis Cell equivalent at country level, refresh risk-and-vulnerability profiles for La Mojana and Putumayo, and prepare cluster pre-positioning. Phase 2 (ALERT) at 75% probability triggers Advanced Preparedness Actions (APA) including draft CERF Anticipatory Action submissions and FAO/WFP commodity pre-positioning. Phase 3 (declared) means activate contingency plans; for Colombia this means cross-walking with IDEAM ERFEN bulletins and UNGRD's Plan Nacional El Niño / Plan de Contingencia La Niña.","Apliquen la lógica de tres fases de los SOP del IASC: Fase 1 (WATCH) cuando la probabilidad IRI/WMO supere 55% — convoque la célula de análisis ENSO a nivel país, actualice perfiles de riesgo y vulnerabilidad para La Mojana y Putumayo, y prepare el preposicionamiento de clústeres. Fase 2 (ALERT) al 75% activa las Advanced Preparedness Actions: redacten la solicitud CERF Anticipatory Action y preposicionen insumos con FAO/PMA. Fase 3 (declarado) implica activar planes de contingencia, alineados con los Comunicados ERFEN del IDEAM y el Plan Nacional El Niño / Plan de Contingencia La Niña de la UNGRD.","research/download-md/IASC-SOPs-Early-Action-El-Nino-La-Nina.md|research/download-md/UNGRD-Plan-Nacional-El-Nino.md|research/download-md/FAO-La-Nina-Anticipatory-Action-Plan-Jan2025.md","local|local|local"
"humanitarian-staff-002","humanitarian-staff","pre","la-mojana","enso-forecast","How do I justify an Anticipatory Action allocation for La Mojana when the dike has not yet breached?","¿Cómo justifico una asignación de Acción Anticipatoria para La Mojana si el dique aún no se ha roto?","Build the case on three convergent signals: (i) IDEAM Boletín de Alertas Hidrológicas with naranja/roja for the Río Cauca subzone or Caño Mojana; (ii) IRI/WMO La Niña ALERT (>=75% probability); and (iii) historical evidence — every La Niña phase since 2010-2011 and 2021-2023 has produced dike failures at Cara de Gato or Los Arrastres. Reference the 27 August 2021 breach, the 6-8 May 2024 dual breach (Cara de Gato + Los Arrastres) and the 27 August 2025 reactivation. The CERF AA window accepts forecast-based triggers; pair with WFP/FAO/UNICEF pre-positioning windows of 4-6 weeks before peak water levels.","Construya el caso con tres señales convergentes: (i) Boletín de Alertas Hidrológicas del IDEAM con naranja/roja para la subzona del Río Cauca o el Caño Mojana; (ii) ALERT de La Niña según IRI/OMM (>=75% de probabilidad); y (iii) evidencia histórica — cada fase de La Niña desde 2010-2011 y 2021-2023 ha producido fallas en Cara de Gato o Los Arrastres. Cite la ruptura del 27 de agosto de 2021, la doble ruptura del 6-8 de mayo de 2024 (Cara de Gato + Los Arrastres) y la reactivación del 27 de agosto de 2025. La ventanilla CERF AA acepta gatillos basados en pronóstico; combínela con preposicionamiento PMA/FAO/UNICEF a 4-6 semanas del pico hídrico.","research/download-md/ACAPS-2024-La-Mojana-Flooding.md|research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/CERF-2022-La-Mojana-Rapid-Response.md","local|local|local"
"humanitarian-staff-003","humanitarian-staff","pre","putumayo","enso-forecast","Putumayo flash floods are not really an ENSO-only signal — what extra data do I use to trigger preparedness?","Las avenidas torrenciales en Putumayo no son una señal puramente ENSO — ¿qué datos adicionales uso para activar preparación?","Putumayo floods are dominated by Andean-Amazon convective rainfall over the foothills, so ENSO is necessary but not sufficient. Pair IRI/WMO La Niña forecast with: IDEAM hydrological bulletins for cuencas Mocoa, Mulato, Sangoyaco, Putumayo and Caquetá; antecedent soil moisture (SMAP/Copernicus); Defensoría de Pueblo Alertas Tempranas; and the Mocoa-2023 risk diagnostic for return-period thresholds. The 2025 rainy season already showed Río Putumayo at Puerto Asís reaching 11.5 m (record 12.5 m) — a value <30 cm from record is itself an operational trigger to activate ELC Putumayo preparedness.","Las inundaciones del Putumayo se dominan por lluvia convectiva andino-amazónica sobre el piedemonte, por lo que ENSO es necesario pero no suficiente. Combine pronóstico La Niña IRI/OMM con: boletines hidrológicos IDEAM para cuencas Mocoa, Mulato, Sangoyaco, Putumayo y Caquetá; humedad antecedente del suelo (SMAP/Copernicus); Alertas Tempranas de la Defensoría; y el Diagnóstico de Riesgos de Mocoa 2023 para umbrales de períodos de retorno. La temporada 2025 ya mostró el Río Putumayo en Puerto Asís a 11,5 m (récord 12,5 m) — un valor a <30 cm del récord es de por sí un gatillo operacional para activar la preparación del ELC Putumayo.","research/download-md/OCHA-SitRep-Inundaciones-Amazonia-Orinoquia-2025.md|research/download-md/Mocoa-DiagnosticoRiesgos-2023.md|research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md","local|local|local"
"humanitarian-staff-004","humanitarian-staff","pre","generic","coordination","How do I update the Plan de Respuesta a Necesidades Humanitarias / CPRP within the HPC cycle?","¿Cómo actualizo el Plan de Respuesta a Necesidades Humanitarias / CPRP dentro del ciclo HPC?","The CPRP follows the Humanitarian Programme Cycle: needs analysis (HNO/Panorama), strategic planning (CPRP), resource mobilization, implementation, monitoring and reporting. For Colombia 2024-2025 the CPRP targets 1.7M of 8.3M PiN with US$332M, with multi-year/biennial framing under the Flagship Initiative. Refresh JIAF 2.0 inputs annually with regional workshops involving the 15 ELCs; integrate UMAIC severity scoring; cross-walk cluster PiN figures (Protection 5.2M, Health 5.8M, WASH 4.5M, EiE 3.5M, Shelter 3.8M, Early Recovery 5.4M, FSL 7.3M). Submit to IASC HCT for endorsement and publish via humanitarianaction.info.","El CPRP sigue el HPC: análisis de necesidades (HNO/Panorama), planificación estratégica (CPRP), movilización de recursos, implementación, monitoreo y reporte. El CPRP Colombia 2024-2025 focaliza 1,7M de 8,3M en PiN con US$332M, en marco bianual bajo la Iniciativa Flagship. Actualice insumos JIAF 2.0 anualmente con talleres regionales de los 15 ELC; integre puntajes de severidad de UMAIC; verifique cifras PiN por clúster (Protección 5,2M, Salud 5,8M, WASH 4,5M, EeE 3,5M, Albergue 3,8M, Recuperación Temprana 5,4M, SAN 7,3M). Sométalo al HCT del IASC y publique vía humanitarianaction.info.","research/download-md/OCHA-HRP-Colombia-2024-2025-Summary.md|research/humanitarian-aid-colombia/humanitarian-aid-context.md","local|local"
"humanitarian-staff-005","humanitarian-staff","pre","generic","coordination","What is the difference between MPA and APA in IASC ERP for an ENSO scenario?","¿Cuál es la diferencia entre MPA y APA en el ERP del IASC para un escenario ENSO?","MPA (Minimum Preparedness Actions) are baseline tasks the country team always maintains regardless of probability — risk monitoring, contingency-plan custody, contact-list and 3W maintenance, donor mapping. APA (Advanced Preparedness Actions) are scenario-specific and triggered when IASC SOPs Phase 2 (75% probability) is reached: contingency plan dusting, simulations, pre-positioning agreements, draft CERF AA submission, scenario-specific severity mapping. In Colombia, MPA is permanent at OCHA + UMAIC; APA escalates with IDEAM ERFEN advisories.","MPA (Minimum Preparedness Actions) son tareas base que el equipo país mantiene siempre, independientemente de la probabilidad — monitoreo de riesgo, custodia del plan de contingencia, mantenimiento de listas de contactos y 3W, mapeo de donantes. APA (Advanced Preparedness Actions) son específicas al escenario y se activan al alcanzar la Fase 2 SOP IASC (75%): revisión del plan de contingencia, simulacros, acuerdos de preposicionamiento, borrador de solicitud CERF AA, mapeo de severidad escenario-específico. En Colombia las MPA son permanentes en OCHA + UMAIC; las APA escalan con los comunicados ERFEN del IDEAM.","research/download-md/IASC-SOPs-Early-Action-El-Nino-La-Nina.md","local"
"humanitarian-staff-006","humanitarian-staff","pre","la-mojana","cluster-activation","Which clusters does OCHA pre-position in La Mojana before a La Niña peak?","¿Qué clústeres preposiciona OCHA en La Mojana antes del pico de La Niña?","Pre-position WASH (UNICEF lead — water filters, hygiene kits, aqueduct repair stocks), Food Security & Nutrition (WFP/FAO — food assistance, seeds, livestock fodder), Health (PAHO/OPS — vector control, EWARS, MHPSS kits), Protection (UNHCR — GBV, child protection, mine risk education), Shelter (IOM/IFRC — NFI kits, hammocks, tarps), Education in Emergencies (UNICEF + Save/NRC — school WASH and TLS), Early Recovery (UNDP — livelihoods restoration). Coordination is led by OCHA via ELC Córdoba, the operational anchor. The 2022 CERF allocation (22-RR-COL-54690, US$2M) covered WFP food, UNICEF WASH and WHO health — replicate that mix as baseline.","Preposicione WASH (lid. UNICEF — filtros, kits de higiene, stocks de reparación de acueductos), Seguridad Alimentaria y Nutrición (PMA/FAO — asistencia alimentaria, semillas, suplementos pecuarios), Salud (OPS/OMS — control vectorial, EWARS, kits SMAPS), Protección (ACNUR — VBG, protección de niñez, educación en riesgo de minas), Albergue (OIM/IFRC — kits NFI, hamacas, lonas), Educación en Emergencias (UNICEF + Save/NRC — WASH escolar y EATs), Recuperación Temprana (PNUD — restablecimiento de medios de vida). La coordinación la lidera OCHA vía ELC Córdoba, ancla operacional. La asignación CERF 2022 (22-RR-COL-54690, US$2M) cubrió alimentos PMA, WASH UNICEF y salud OMS — replique esa mezcla como base.","research/download-md/CERF-2022-La-Mojana-Rapid-Response.md|research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local|local"
"humanitarian-staff-007","humanitarian-staff","pre","putumayo","cluster-activation","How is ELC Putumayo composed and which municipalities does it prioritize?","¿Cómo está compuesto el ELC Putumayo y qué municipios prioriza?","ELC Putumayo includes 24 organizations: UN agencies (ACNUR, OPS/OMS, PNUD, UNODC, UNVMC), international and national NGOs, plus observers (CICR, MAPP-OEA). For 2025 it prioritizes Puerto Guzmán, Puerto Leguízamo, Puerto Asís and Mocoa for humanitarian severity, and Puerto Asís, Valle del Guamuez, Mocoa and San Miguel for mixed migratory flows. Strategic priority is interagency cooperation and intersectoral collaboration between humanitarian and peacebuilding actors. Lead contact: palaciom@unhcr.org (humanitarian); kjellstrom@un.org (peace and development).","El ELC Putumayo lo conforman 24 organizaciones: agencias ONU (ACNUR, OPS/OMS, PNUD, UNODC, UNVMC), ONGs internacionales y nacionales, más observadores (CICR, MAPP-OEA). En 2025 prioriza Puerto Guzmán, Puerto Leguízamo, Puerto Asís y Mocoa por severidad humanitaria, y Puerto Asís, Valle del Guamuez, Mocoa y San Miguel por flujos migratorios mixtos. La prioridad estratégica es la cooperación interagencial y la colaboración intersectorial entre actores humanitarios y de construcción de paz. Líderes: palaciom@unhcr.org (humanitario); kjellstrom@un.org (paz y desarrollo).","research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md","local"
"humanitarian-staff-008","humanitarian-staff","pre","generic","aap","How do I apply the Flagship Initiative AAP methodology in a flood-prone community?","¿Cómo aplico la metodología AAP de la Iniciativa Flagship en una comunidad propensa a inundaciones?","Flagship pilots place communities at the center of all HPC phases (planning, implementation, monitoring). Apply five AAP commitments: (i) leadership of communities; (ii) participation; (iii) information; (iv) feedback; (v) learning. Convene community priorities workshops (model: La Mojana 'Construyendo Resiliencia', May 2024 with UNICEF/FAO/OPS/World Vision/OCHA), agree priorities through JACs/cabildos, integrate them in the CPRP intervention type 4 (peace-development articulation), and establish a complaints-and-feedback mechanism per ELC. Monitor at PDM and feed Strategic Objective 2 (resilience) indicators.","Los pilotos Flagship colocan a las comunidades al centro de todas las fases del HPC (planificación, implementación, monitoreo). Aplique los cinco compromisos AAP: (i) liderazgo de las comunidades; (ii) participación; (iii) información; (iv) retroalimentación; (v) aprendizaje. Realice talleres de priorización comunitaria (modelo La Mojana 'Construyendo Resiliencia', mayo 2024 con UNICEF/FAO/OPS/World Vision/OCHA), acuerde prioridades vía JACs/cabildos, intégrelas en la intervención tipo 4 del CPRP (articulación paz-desarrollo) y establezca un mecanismo de quejas y retroalimentación por ELC. Monitoree en PDM y alimente los indicadores del Objetivo Estratégico 2 (resiliencia).","research/download-md/OCHA-HRP-Colombia-2024-2025-Summary.md|research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local|local"
"humanitarian-staff-009","humanitarian-staff","pre","generic","data-information","What 3W/4W information products do I need ready before a flood event?","¿Qué productos de información 3W/4W necesito listos antes de un evento de inundación?","Maintain a current 3W (Who, What, Where) at minimum and ideally a 4W (adding When) per ELC and per cluster. Before peak season: validate operational presence by municipality, cluster service coverage, partner contact lists, stock pre-positioning maps, contingency-plan inventories. UMAIC produces the consolidated humanitarian-architecture map. Cross-walk with UNGRD CMGRD/CDGRD presence. For La Mojana, freeze a baseline 4W per the 11 affected municipalities; for Putumayo, by 13 municipalities split among Alto/Medio/Bajo Putumayo subregions.","Mantenga al menos un 3W (Quién, Qué, Dónde) y de preferencia un 4W (añadiendo Cuándo) por ELC y por clúster. Antes del pico de temporada: valide presencia operativa por municipio, cobertura de servicios por clúster, listas de contactos por socio, mapas de preposicionamiento de stocks e inventarios de planes de contingencia. UMAIC produce el mapa consolidado de arquitectura humanitaria. Cruce con presencia de CMGRD/CDGRD de la UNGRD. Para La Mojana congele una línea base 4W para los 11 municipios; para Putumayo, por los 13 municipios distribuidos en Alto/Medio/Bajo Putumayo.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md|research/humanitarian-aid-colombia/humanitarian-aid-context.md","local|local|local"
"humanitarian-staff-010","humanitarian-staff","pre","generic","data-information","How do I integrate satellite-based flood baselines into the HPC needs analysis?","¿Cómo integro líneas base satelitales de inundación en el análisis de necesidades del HPC?","Use Sentinel-1 SAR archive flood-frequency products (CopernicusLAC Use Case 2, services delivered with UNGRD) and ESA WorldCover crop/grassland masks to build per-municipality exposure baselines. For La Mojana, the FAO DIEM workflow already shows 35% of San Benito Abad cropland and 44% of Ayapel cropland flooded in 2024. Feed those into JIAF 2.0 severity scoring under the impact pillar; cross with population/livelihood layers and Defensoría Alertas Tempranas to elevate severity in conflict-overlap zones. Make sure UMAIC keeps a refreshable map service.","Use el archivo Sentinel-1 SAR de frecuencia de inundación (CopernicusLAC Use Case 2, en alianza con UNGRD) y máscaras de cultivos/pastos de ESA WorldCover para construir líneas base de exposición por municipio. Para La Mojana, el flujo FAO DIEM ya muestra 35% del área cultivable de San Benito Abad y 44% de Ayapel inundados en 2024. Alimente eso al puntaje de severidad JIAF 2.0 en el pilar de impacto; cruce con capas de población/medios de vida y Alertas Tempranas de la Defensoría para elevar severidad en zonas de superposición con conflicto. Asegúrese de que UMAIC mantenga un servicio de mapas actualizable.","research/water-crisis-colombia.md","local"
