"id","role","phase","region","topic","question_en","question_es","answer_en","answer_es","references","ref_types"
"qa-0001","first-respondants","event","generic","triage","What triage protocol do I use at the impact site?","¿Qué protocolo de triage uso en el sitio de impacto?","Use START (Simple Triage and Rapid Treatment): walking wounded = green (verde), respira+pulso+responds = yellow (amarillo), respira pero no responde or major bleeding = red (rojo), no respira tras manejo de vía aérea = black (negro). For mass casualty incidents like Mocoa 2017 with 400+ injured and 335 fatalities, set up triage area uphill and away from water within 15 minutes of arrival. Mark patients with colored tape on right wrist, document on a single triage tag (no clinical narrative at this stage). Pediatric patients use JumpSTART variant.","Usa START (Simple Triage and Rapid Treatment): ambulatorio = verde, respira+pulso+responde = amarillo, respira pero no responde o sangrado mayor = rojo, no respira tras manejo de vía aérea = negro. Para incidentes con múltiples víctimas como Mocoa 2017 con más de 400 heridos y 335 fatales, monta el área de triage en zona alta lejos del agua dentro de los primeros 15 minutos. Marca a los pacientes con cinta de color en muñeca derecha, documenta en una sola tarjeta de triage (sin narrativa clínica en esta etapa). Para pacientes pediátricos usa la variante JumpSTART.","research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md","local"
"qa-0002","first-respondants","event","generic","exit-criteria","What are my safety exit criteria for pulling a team out?","¿Cuáles son mis criterios de seguridad para retirar un equipo del terreno?","Pull out when: water level rises faster than 30 cm/h sustained, lightning within 5 km, structural collapse risk visible (cracks, settling), team fatigue exceeds 12 h continuous operation, communication with PMU lost for >30 min, fuel reserve drops below 30%, or armed actor presence reported. In Mocoa-style avenida torrencial, leave if you hear the ruido sordo (low rumble) characteristic of a debris flow approaching — that is your seconds-of-warning signal, climb laterally not downstream. Document exit decision on the bitácora and report to PMU.","Retira cuando: el nivel del agua sube más de 30 cm/h sostenido, hay rayos a menos de 5 km, riesgo de colapso estructural visible (fisuras, asentamientos), fatiga del equipo supera las 12 h continuas, se pierde comunicación con el PMU por más de 30 min, la reserva de combustible cae por debajo del 30%, o se reporta presencia de actor armado. En avenida torrencial estilo Mocoa, sal si escuchas el ruido sordo característico de un flujo de detritos acercándose — esa es tu señal de segundos de aviso, sube lateralmente no aguas abajo. Documenta la decisión de retiro en la bitácora y reporta al PMU.","",""
"qa-0003","first-respondants","event","generic","usar","When do I activate USAR-light vs heavy USAR resources?","¿Cuándo activo recursos USAR ligero vs USAR pesado?","USAR-light (Búsqueda y Rescate Urbano ligero, Cruz Roja/Defensa Civil capability) handles surface and shallow void searches in collapsed timber/light masonry structures and slope debris — the Mocoa 2017 scenario. USAR-medium/heavy is required for reinforced concrete collapses with deep voids requiring shoring, breaking and breaching — uncommon in flood scenarios but possible if an apartment block is undermined. Activate USAR-medium via UNGRD only if local USAR-light cannot extricate within 4-6 hours of confirmed entrapment. In Mocoa 2017 the Ejército engineering battalions provided heavy debris removal which is distinct from USAR.","USAR-ligero (Búsqueda y Rescate Urbano ligero, capacidad Cruz Roja/Defensa Civil) maneja búsquedas en superficie y vacíos superficiales en estructuras de madera/mampostería ligera colapsadas y escombros en ladera — el escenario Mocoa 2017. USAR-medio/pesado se requiere para colapsos de concreto reforzado con vacíos profundos que requieren apuntalamiento, ruptura y rompimiento — poco común en inundaciones pero posible si un bloque de apartamentos se socava. Activa USAR-medio vía UNGRD sólo si el USAR-ligero local no logra extricar en 4-6 horas tras entrampamiento confirmado. En Mocoa 2017 los batallones de ingenieros del Ejército hicieron remoción pesada de escombros, distinto de USAR.","research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md|research/download-md/Mocoa-DiagnosticoRiesgos-2023.md","local|local"
"qa-0004","first-respondants","event","generic","body-recovery","How do I handle bodies recovered during flood operations?","¿Cómo manejo cadáveres recuperados durante operaciones de inundación?","Follow the ICRC Manejo de Cadáveres en Situaciones de Desastre protocol with the Colombian DVI minimum: do not bury anonymously, photograph face + distinctive features + clothing + personal effects in situ, assign unique identifier number, place in body bag with the ID inside and outside, GPS-tag the recovery location, transport to a designated morgue or refrigerated container coordinated with Medicina Legal. Never let community members do uncoordinated burials — that destroyed identification chances after Mocoa 2017 where 57 people remained desaparecidos. Hand-over to Fiscalía and Medicina Legal under chain of custody.","Sigue el protocolo del CICR de Manejo de Cadáveres en Situaciones de Desastre con el mínimo DVI colombiano: no entierres en anónimo, fotografía cara + rasgos distintivos + ropa + efectos personales in situ, asigna número de identificador único, coloca en bolsa para cadáver con el ID adentro y afuera, georreferencia el sitio de recuperación, transporta a morgue designada o contenedor refrigerado coordinado con Medicina Legal. Nunca permitas que la comunidad haga entierros sin coordinación — eso destruyó las posibilidades de identificación después de Mocoa 2017 donde 57 personas quedaron desaparecidas. Entrega a Fiscalía y Medicina Legal bajo cadena de custodia.","research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md|research/download-md/UNAL-Catastrofe-Mocoa.md","local|local"
"qa-0005","first-respondants","event","generic","aerial-rescue","When do I request a helicopter rescue and how?","¿Cuándo pido un rescate aéreo en helicóptero y cómo?","Request Fuerza Aérea or Aerocivil rescue when: ground/water access is impossible, victim has injury that exceeds local clinical capacity, isolated community has run out of food/water and no boat route exists. Request goes through CMGRD to UNGRD which articulates with FAC. Provide grid coordinates (preferably MGRS or decimal degrees), LZ description (size, slope, obstacles, wind), number and condition of victims, expected hoist vs landing. Mark LZ with smoke signal or panel marker visible from 1 km. Mocoa 2017 used FAC and Ejército helicopters extensively for rural vereda evacuations.","Pide rescate de Fuerza Aérea o Aerocivil cuando: el acceso terrestre/fluvial es imposible, la víctima tiene una lesión que supera la capacidad clínica local, una comunidad aislada se quedó sin alimentos/agua y no hay ruta de lancha. La solicitud va vía CMGRD a UNGRD que articula con FAC. Provee coordenadas en grilla (preferible MGRS o grados decimales), descripción del LZ (tamaño, pendiente, obstáculos, viento), número y condición de víctimas, hoist vs aterrizaje. Marca el LZ con señal de humo o panel visible desde 1 km. Mocoa 2017 usó helicópteros de FAC y Ejército ampliamente para evacuaciones de veredas rurales.","research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md","local"
"qa-0006","first-respondants","event","generic","disability-inclusion","How do I evacuate a person with disability during a flood?","¿Cómo evacúo a una persona con discapacidad durante una inundación?","Identify pre-event with the alcaldía and CMGRD the registry of personas con discapacidad in the affected zone — this should be a preparedness step. During event, two responders minimum, use a flexible rescue stretcher (Sked or improvised), maintain dignity (cover, ask before lifting, communicate every move). For motor-impaired persons in flooded houses, do not use a regular boat seat — use a board or stretcher across the boat. For deaf persons use written messages or a relative as interpreter. The CERF-2022 La Mojana project specifically built accessibility into toilet construction and reached 485 PwD — preserve that visibility in your registers.","Identifica pre-evento con la alcaldía y el CMGRD el registro de personas con discapacidad en la zona afectada — esto debe ser paso de preparación. Durante el evento, mínimo dos socorristas, usa camilla flexible de rescate (Sked o improvisada), preserva la dignidad (cubrir, pedir permiso antes de cargar, comunicar cada movimiento). Para personas con discapacidad motora en casa inundada, no uses asiento regular de lancha — usa una tabla o camilla atravesada. Para personas sordas usa mensajes escritos o un familiar como intérprete. El proyecto CERF-2022 La Mojana incorporó accesibilidad en construcción de baños y alcanzó 485 personas con discapacidad — preserva esa visibilidad en tus registros.","research/download-md/CERF-2022-La-Mojana-Rapid-Response.md","local"
"qa-0007","first-respondants","event","generic","child-protection","How do I handle an unaccompanied minor during rescue?","¿Cómo manejo a un menor de edad no acompañado durante el rescate?","Treat as protection emergency from minute one. Do not separate the child from any adult familiar to them unless safety requires it. Document name, age, last known location of family, distinctive marks. Hand over only to ICBF (Instituto Colombiano de Bienestar Familiar) which led the Mocoa 2017 response for pregnant/lactating mothers and unaccompanied children — never to a stranger or generic albergue. Use family-tracing (Restablecimiento de Contactos Familiares of Cruz Roja). Protect against trafficking, recruitment by armed groups (high risk in Putumayo per Defensoría), and informal adoption attempts. Photograph and register with consent of any present guardian.","Trata como emergencia de protección desde el primer minuto. No separes al niño de un adulto que le sea conocido salvo que la seguridad lo requiera. Documenta nombre, edad, última ubicación conocida de la familia, rasgos distintivos. Entrega sólo al ICBF (Instituto Colombiano de Bienestar Familiar) que lideró la respuesta de Mocoa 2017 para gestantes/lactantes y niños no acompañados — nunca a un extraño o albergue genérico. Usa rastreo familiar (Restablecimiento de Contactos Familiares de Cruz Roja). Protege contra trata, reclutamiento por grupos armados (riesgo alto en Putumayo según Defensoría), e intentos de adopción informal. Fotografía y registra con consentimiento de cualquier acudiente presente.","research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md|research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md","local|local"
"qa-0008","first-respondants","event","generic","psychological-first-aid","How do I provide psychological first aid as a non-mental-health responder?","¿Cómo brindo primeros auxilios psicológicos como socorrista no especializado en salud mental?","Use the WHO/IFRC PFA model: Look (observe safety, basic needs, distress), Listen (approach, ask, listen actively), Link (connect to information, services, social support). Don't force people to talk or relive the event. Stay calm, speak slowly, use the person's name, validate (no estás solo, estás a salvo ahora). Refer urgent cases (ideación suicida, crisis psicótica, abuso reciente) to the IPS or albergue mental health team. La Mojana 2025 reports cases of suicidal ideation associated with prolonged emergency — prioritize active listening for adults living in chronic flood for years.","Usa el modelo OMS/IFRC de PAP: Observar (seguridad, necesidades básicas, signos de angustia), Escuchar (acercarse, preguntar, escuchar activamente), Conectar (información, servicios, apoyo social). No fuerces a la persona a hablar ni a revivir el evento. Mantén la calma, habla despacio, usa el nombre de la persona, valida (no estás solo, estás a salvo ahora). Remite casos urgentes (ideación suicida, crisis psicótica, abuso reciente) al equipo de salud mental de la IPS o albergue. La Mojana 2025 reporta casos de ideación suicida asociados a la emergencia prolongada — prioriza escucha activa para adultos viviendo en inundación crónica por años.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
"qa-0009","first-respondants","event","generic","triage-on-boat","How do I stabilize a critical patient during boat or helicopter transport?","¿Cómo estabilizo a un paciente crítico durante transporte en lancha o helicóptero?","ABCDE approach before loading: Airway open (consider C-collar if trauma), Breathing assured, Circulation with controlled bleeding (tourniquet if necessary), Disability assessment (Glasgow), Exposure for hypothermia management (cover with thermal blanket — hypothermia is high risk after immersion). Secure patient with at least 3 straps to a backboard or stretcher, head facing the bow on a boat. In helicopter, follow crew chief instructions strictly. Communicate with receiving IPS by radio with ETA and patient status. Document time of vital signs every 5 min on transport ticket.","Enfoque ABCDE antes de cargar: Vía aérea permeable (collar cervical si hay trauma), Ventilación asegurada, Circulación con sangrado controlado (torniquete si es necesario), Discapacidad/Glasgow, Exposición para manejo de hipotermia (cubre con manta térmica — la hipotermia es alto riesgo tras inmersión). Asegura al paciente con al menos 3 correas a tabla espinal o camilla, cabeza hacia la proa en lancha. En helicóptero, sigue estrictamente las indicaciones del jefe de tripulación. Comunica a la IPS receptora por radio con ETA y estado del paciente. Documenta los signos vitales cada 5 min en la ficha de transporte.","",""
"qa-0010","first-respondants","event","generic","albergue-security","How do I secure an albergue temporal during the first 48 hours?","¿Cómo aseguro un albergue temporal en las primeras 48 horas?","After Mocoa 2017, twelve temporary shelters were set up by local authorities and run jointly by Ejército, Defensa Civil, Policía, Cruz Roja and ICBF. Set perimeter with one controlled entry, register every person in/out, separate sleeping areas for unaccompanied women, NNA and pregnant/lactating women (ICBF coordinates this last group). Position rescatistas in 4-hour rotating watch. Coordinate with Policía for property security but maintain Cruz Roja-led humanitarian space — looting was reported in Mocoa 2017 (25 arrests). Ensure WASH, lighting, and SIM-equivalent identification.","Después de Mocoa 2017, se montaron 12 albergues temporales liderados por autoridades locales operados conjuntamente por Ejército, Defensa Civil, Policía, Cruz Roja e ICBF. Establece perímetro con una entrada controlada, registra cada persona que entra y sale, separa áreas de dormitorio para mujeres no acompañadas, NNA y mujeres gestantes/lactantes (ICBF coordina este último grupo). Pon rescatistas en guardia rotativa de 4 horas. Coordina con Policía para seguridad de bienes pero mantén el espacio humanitario liderado por Cruz Roja — en Mocoa 2017 se reportaron saqueos (25 arrestos). Asegura WASH, iluminación, e identificación equivalente a SIM.","research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md","local"
