"id","role","phase","region","topic","question_en","question_es","answer_en","answer_es","references","ref_types"
"national-authorities-001","national-authorities","pre","generic","enso-forecast","When should UNGRD activate the Plan Nacional de Gestión ante el Fenómeno El Niño?","¿Cuándo debe la UNGRD activar el Plan Nacional de Gestión ante el Fenómeno El Niño?","Activation is triggered by the IDEAM Comunicado ERFEN (joint with DIMAR/INVEMAR/SGC) once the Oceanic Niño Index (ONI) registers values at or above +0.5°C for five consecutive months in Region 3.4, or before, on a precautionary basis, when IRI/CPC probabilistic forecasts exceed 70% for the following trimester. UNGRD's Subdirección de Manejo de Desastres issues a Circular (e.g., Circular 028 de 2026 for El Niño 2026) instructing CDGRD and CMGRD to update territorial contingency plans, preposition AHE kits, and convene the Comité Nacional para el Manejo de Desastres. The Plan's sectoral activation matrix mobilizes MinAmbiente, MinSalud, MinAgricultura, MinVivienda, MinTransporte and MinDefensa.","La activación se dispara con el Comunicado ERFEN del IDEAM (conjunto con DIMAR/INVEMAR/SGC) una vez el Índice Oceánico Niño (ONI) registra valores iguales o superiores a +0,5°C durante cinco meses consecutivos en la Región 3.4, o antes, de manera preventiva, cuando los pronósticos probabilísticos del IRI/CPC superan el 70% para el trimestre siguiente. La Subdirección de Manejo de Desastres de la UNGRD emite una Circular (p. ej., Circular 028 de 2026 para El Niño 2026) instruyendo a los CDGRD y CMGRD a actualizar planes de contingencia territoriales, preposicionar kits de AHE y convocar el Comité Nacional para el Manejo de Desastres. La matriz sectorial del Plan moviliza a MinAmbiente, MinSalud, MinAgricultura, MinVivienda, MinTransporte y MinDefensa.","research/download-md/UNGRD-Plan-Nacional-El-Nino.md|research/water-crisis-colombia.md","local|local"
"national-authorities-002","national-authorities","pre","generic","enso-forecast","How does IDEAM disseminate hydrometeorological alerts that the SNGRD must act upon?","¿Cómo difunde el IDEAM las alertas hidrometeorológicas sobre las que el SNGRD debe actuar?","IDEAM issues three coordinated products: (i) the monthly Comunicado ERFEN with DIMAR, INVEMAR and SGC for ENSO status and ONI tracking; (ii) the Boletín de Alertas Hidrológicas (BAH), which assigns alta, moderada or baja alerts by sub-zona hidrográfica; and (iii) the daily Pronóstico de Tiempo y Clima. UNGRD's Sala de Crisis must monitor these products in real time and cascade them to CDGRD and CMGRD via the SNGRD comms chain. For Cauca-Magdalena-San Jorge sub-basins relevant to La Mojana, and Putumayo-Caquetá-Mocoa for Putumayo, BAH alerts in red trigger automatic notification protocols.","El IDEAM emite tres productos coordinados: (i) el Comunicado ERFEN mensual con DIMAR, INVEMAR y SGC para estado del ENOS y seguimiento del ONI; (ii) el Boletín de Alertas Hidrológicas (BAH), que asigna alertas alta, moderada o baja por subzona hidrográfica; y (iii) el Pronóstico de Tiempo y Clima diario. La Sala de Crisis de la UNGRD debe monitorear estos productos en tiempo real y replicarlos a los CDGRD y CMGRD por la cadena de comunicaciones del SNGRD. Para las subcuencas Cauca-Magdalena-San Jorge relevantes a La Mojana, y Putumayo-Caquetá-Mocoa para Putumayo, las alertas BAH en rojo activan protocolos de notificación automática.","research/water-crisis-colombia.md|research/download-md/UNGRD-Plan-Nacional-El-Nino.md","local|local"
"national-authorities-003","national-authorities","pre","la-mojana","dike-management","What is Plan Mojana and how is it financed?","¿Qué es el Plan Mojana y cómo se financia?","Plan Mojana is the interinstitutional response strategy led by UNGRD with Fondo Adaptación, MinAmbiente, MinAgricultura, MinVivienda, the four affected gobernaciones (Sucre, Córdoba, Bolívar, Antioquia) and 11 alcaldías. It combines hydraulic infrastructure works (notably the ampliación del Canal de La Esperanza, designed to redirect ~60% of Río Cauca flow), housing reconstruction, climate-resilient livelihoods and humanitarian kit distribution. Total committed investment exceeds 170 thousand million COP, financed via Fondo Adaptación, FNGRD recursos and complementary cooperation (UNDP-GCF Adaptation Fund 'Reducing Risk and Vulnerability to Climate Change in La Depresión Momposina'). Execution is monitored by the Comité Estratégico Plan Mojana convened by UNGRD.","El Plan Mojana es la estrategia interinstitucional de respuesta liderada por la UNGRD con el Fondo Adaptación, MinAmbiente, MinAgricultura, MinVivienda, las cuatro gobernaciones afectadas (Sucre, Córdoba, Bolívar, Antioquia) y 11 alcaldías. Combina obras de infraestructura hidráulica (notablemente la ampliación del Canal de La Esperanza, diseñada para desviar ~60% del caudal del Río Cauca), reconstrucción de vivienda, medios de vida resilientes al clima y entrega de kits humanitarios. La inversión comprometida total supera los 170 mil millones COP, financiada vía Fondo Adaptación, recursos FNGRD y cooperación complementaria (Adaptation Fund-PNUD 'Reducción del Riesgo y Vulnerabilidad al Cambio Climático en La Depresión Momposina'). La ejecución es monitoreada por el Comité Estratégico Plan Mojana convocado por la UNGRD.","research/water-crisis-colombia.md|research/download-md/IISD-Restoring-Wetlands-La-Mojana.md","local|local"
"national-authorities-004","national-authorities","pre","la-mojana","dike-management","How should the Fondo Adaptación coordinate dike rehabilitation works on Cara de Gato to avoid the 2024 failure pattern?","¿Cómo debe coordinar el Fondo Adaptación las obras de rehabilitación del dique Cara de Gato para evitar el patrón de falla de 2024?","Fondo Adaptación, as the executor of structural works under Plan Mojana, must (i) require contractor compliance with the technical guidance of the IDEAM-Cormagdalena-Corpomojana hydraulic studies, (ii) conduct independent supervisión técnica through Universidad Nacional or a similar academic body to avoid the conflict-of-interest patterns documented in the 'Cara de Gato' corruption case investigated by the Contraloría, and (iii) integrate dike-monitoring (filtraciones, niveles del Cauca at La Coquera) into UNGRD's Sala de Crisis. The February 2024 failure of the rebuilt jarillón two months after completion exposed gaps in compaction, foundation diagnostics and contractor oversight that must not be repeated.","El Fondo Adaptación, como ejecutor de obras estructurales bajo el Plan Mojana, debe (i) exigir al contratista el cumplimiento de los estudios hidráulicos IDEAM-Cormagdalena-Corpomojana, (ii) realizar supervisión técnica independiente a través de la Universidad Nacional u órgano académico equivalente para evitar los patrones de conflicto de interés documentados en el caso de corrupción 'Cara de Gato' investigado por la Contraloría, y (iii) integrar el monitoreo del dique (filtraciones, niveles del Cauca en La Coquera) a la Sala de Crisis de la UNGRD. La falla de febrero de 2024 del jarillón reconstruido a dos meses de su entrega evidenció brechas en compactación, diagnóstico de cimentación y supervisión contractual que no pueden repetirse.","research/download-md/ACAPS-2024-La-Mojana-Flooding.md|research/flood-tagging-and-reference-points.md","local|local"
"national-authorities-005","national-authorities","pre","la-mojana","early-warning","How should UNGRD position the Sistema Nacional de Información para la Gestión del Riesgo before the next La Niña pulse in La Mojana?","¿Cómo debe posicionar la UNGRD el Sistema Nacional de Información para la Gestión del Riesgo antes del próximo pulso de La Niña en La Mojana?","UNGRD's Subdirección de Conocimiento del Riesgo must update the Atlas de Riesgo with Sentinel-1 SAR flood-frequency layers (2015-2025) provided through the CopernicusLAC Panama Centre × UNGRD partnership (Use Case 2 — Flood Frequency and Impact Mapping). This must be cross-referenced with the limnimetric station network on Cauca, San Jorge and Magdalena, and with Corpomojana's Centro Regional de Pronóstico y Alertas Tempranas. The objective is to identify communities now within the 2021-2023 'mancha de inundación' but historically outside it (e.g., Caimito, Mamón, Pumpuma, Los Ossas), so PMGRD updates and AHE preposicionamiento target them before the next pulse.","La Subdirección de Conocimiento del Riesgo de la UNGRD debe actualizar el Atlas de Riesgo con capas de frecuencia de inundación Sentinel-1 SAR (2015-2025) provistas mediante la alianza CopernicusLAC Panama Centre × UNGRD (Use Case 2 — Flood Frequency and Impact Mapping). Esto debe cruzarse con la red de estaciones limnimétricas del Cauca, San Jorge y Magdalena, y con el Centro Regional de Pronóstico y Alertas Tempranas de Corpomojana. El objetivo es identificar comunidades ahora dentro de la 'mancha de inundación' 2021-2023 pero históricamente fuera de ella (p. ej., Caimito, Mamón, Pumpuma, Los Ossas), de modo que la actualización de los PMGRD y el preposicionamiento de AHE las prioricen antes del próximo pulso.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/water-crisis-colombia.md","local|local"
"national-authorities-006","national-authorities","pre","la-mojana","coordination","How does UNGRD articulate with Cormagdalena and Corpomojana for La Mojana preparedness?","¿Cómo se articula la UNGRD con Cormagdalena y Corpomojana para la preparación en La Mojana?","Under Ley 1523 de 2012 and the SNGRD architecture, UNGRD convenes Cormagdalena (the autoridad regional ambiental for the Magdalena basin) and Corpomojana (CAR for La Mojana) through the Comité Nacional para el Conocimiento del Riesgo. Cormagdalena leads sediment and dragado technical input on Cauca and Magdalena; Corpomojana leads ciénagas and caños hydraulic monitoring (e.g., Caño Rabón at Guaranda) and operates the Sistema de Alerta Temprana Nueva Esperanza. UNGRD must also activate the Comisión Técnica Asesora del Riesgo Hidrometeorológico to harmonize alerts and avoid the duplications that occurred in 2021-2022.","Bajo la Ley 1523 de 2012 y la arquitectura del SNGRD, la UNGRD convoca a Cormagdalena (autoridad regional ambiental de la cuenca del Magdalena) y a Corpomojana (CAR de La Mojana) a través del Comité Nacional para el Conocimiento del Riesgo. Cormagdalena lidera el insumo técnico de sedimentos y dragado en Cauca y Magdalena; Corpomojana lidera el monitoreo hidráulico de ciénagas y caños (p. ej., Caño Rabón en Guaranda) y opera el Sistema de Alerta Temprana Nueva Esperanza. La UNGRD debe también activar la Comisión Técnica Asesora del Riesgo Hidrometeorológico para armonizar alertas y evitar las duplicidades ocurridas en 2021-2022.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/UNGRD-Plan-Nacional-El-Nino.md","local|local"
"national-authorities-007","national-authorities","pre","putumayo","early-warning","Why is there no equivalent unified plan for Putumayo as Plan Mojana exists for La Mojana?","¿Por qué no existe un plan unificado equivalente para Putumayo como existe el Plan Mojana para La Mojana?","La Mojana is treated as a chronic, geographically bounded crisis driven principally by hydraulic infrastructure failure, which justifies a single interinstitutional master plan. Putumayo is characterized by multi-threat compounded emergencies — flash floods (Mocoa 2017), riverine overflows (Bajo Putumayo 2025), landslides on Vía Mocoa-Pasto, plus an active armed-conflict overlay (EMC factions, Comandos de la Frontera) that restricts state presence and humanitarian access. Response is articulated through the Plan Nacional de Gestión del Riesgo de Desastres, the territorial PDGRD/PMGRD, and ad-hoc decretos (e.g., Decreto 0472 de 2025 of the Gobernación del Putumayo). UNGRD, MinInterior, the Unidad para las Víctimas and Fuerzas Militares must articulate response case by case, often through the Puesto de Mando Unificado.","La Mojana se trata como crisis crónica, geográficamente delimitada y causada principalmente por falla de infraestructura hidráulica, lo que justifica un plan maestro interinstitucional único. Putumayo se caracteriza por emergencias multi-amenaza compuestas — avenidas torrenciales (Mocoa 2017), desbordamientos fluviales (Bajo Putumayo 2025), deslizamientos en la Vía Mocoa-Pasto, más una superposición activa de conflicto armado (facciones EMC, Comandos de la Frontera) que restringe la presencia estatal y el acceso humanitario. La respuesta se articula a través del Plan Nacional de Gestión del Riesgo de Desastres, los PDGRD/PMGRD territoriales y decretos ad-hoc (p. ej., Decreto 0472 de 2025 de la Gobernación del Putumayo). La UNGRD, el MinInterior, la Unidad para las Víctimas y las Fuerzas Militares deben articular la respuesta caso a caso, frecuentemente mediante Puesto de Mando Unificado.","research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md|research/download-md/OCHA-SitRep-Inundaciones-Amazonia-Orinoquia-2025.md|research/water-crisis-colombia.md","local|local|local"
"national-authorities-008","national-authorities","pre","putumayo","armed-conflict-overlay","How should national authorities prepare flood response in Putumayo given the armed-conflict overlay?","¿Cómo deben las autoridades nacionales preparar la respuesta a inundaciones en Putumayo dado el contexto de conflicto armado?","UNGRD must coordinate with MinDefensa, the Comando General de las Fuerzas Militares, the Defensoría del Pueblo and the Unidad para las Víctimas to apply the principle of distinción humanitaria when planning logistics, ensuring that civilian assistance routes do not co-mingle with military operations. The Defensoría's SAT (Sistema de Alertas Tempranas) issues Alertas Tempranas for municipios with confluencia conflicto-clima (e.g., Puerto Leguízamo, Puerto Asís, Valle del Guamuez); these must inform UNGRD's preposicionamiento. International humanitarian principles (humanidad, neutralidad, imparcialidad, independencia operativa) must be respected to keep access open for OCHA, ICRC and ELC Putumayo.","La UNGRD debe coordinar con MinDefensa, el Comando General de las Fuerzas Militares, la Defensoría del Pueblo y la Unidad para las Víctimas para aplicar el principio de distinción humanitaria al planear la logística, asegurando que las rutas de asistencia civil no se mezclen con operaciones militares. El SAT (Sistema de Alertas Tempranas) de la Defensoría emite Alertas Tempranas para municipios con confluencia conflicto-clima (p. ej., Puerto Leguízamo, Puerto Asís, Valle del Guamuez); estas deben informar el preposicionamiento de la UNGRD. Los principios humanitarios internacionales (humanidad, neutralidad, imparcialidad, independencia operativa) deben respetarse para mantener el acceso abierto a OCHA, CICR y ELC Putumayo.","research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md|research/humanitarian-aid-colombia/humanitarian-aid-context.md","local|local"
"national-authorities-009","national-authorities","pre","generic","enso-forecast","What anticipatory action triggers should the EHP and UNGRD agree on for La Niña?","¿Qué disparadores de acción anticipatoria deben acordar el EHP y la UNGRD para La Niña?","Following the IASC SOPs for Early Action to El Niño/La Niña Episodes, Phase 2 is triggered when IRI/CPC probabilistic forecasts reach 70% for La Niña in the next trimester, and Phase 3 when the WMO/IRI consensus confirms an event in formation. UNGRD should formalize national triggers complementing these: ONI ≤ -0.5°C for two consecutive months; IDEAM BAH alerta naranja sustained 7 days on Cauca, San Jorge or Putumayo; and FAO La Niña Anticipatory Action Plan livelihoods triggers. Reaching trigger Phase 2 should activate CERF Anticipatory Action requests, FNGRD pre-allocation, and pre-positioning of AHE kits in Sucre, Córdoba, Bolívar and Putumayo storage hubs.","Siguiendo los SOPs IASC para Acción Temprana ante Episodios El Niño/La Niña, la Fase 2 se activa cuando los pronósticos probabilísticos del IRI/CPC alcanzan 70% para La Niña en el próximo trimestre, y la Fase 3 cuando el consenso WMO/IRI confirma un evento en formación. La UNGRD debe formalizar disparadores nacionales complementarios: ONI ≤ -0,5°C por dos meses consecutivos; alerta naranja BAH del IDEAM sostenida 7 días en Cauca, San Jorge o Putumayo; y disparadores de medios de vida del Plan de Acción Anticipatoria FAO ante La Niña. Alcanzar el disparador Fase 2 debe activar solicitudes a la ventana de Acción Anticipatoria del CERF, pre-asignación del FNGRD y preposicionamiento de kits AHE en Sucre, Córdoba, Bolívar y centros logísticos de Putumayo.","research/download-md/IASC-SOPs-Early-Action-El-Nino-La-Nina.md|research/download-md/FAO-La-Nina-Anticipatory-Action-Plan-Jan2025.md","local|local"
"national-authorities-010","national-authorities","pre","generic","coordination","What is the legal basis for UNGRD's coordination role under Ley 1523 de 2012?","¿Cuál es la base legal del rol coordinador de la UNGRD bajo la Ley 1523 de 2012?","Ley 1523 de 2012 establishes the Sistema Nacional de Gestión del Riesgo de Desastres (SNGRD) and creates UNGRD as its national coordinating entity. It distributes responsibilities across three procesos misionales: conocimiento del riesgo, reducción del riesgo, and manejo de desastres. Article 27 establishes the principle of subsidiariedad — alcaldías are first responders, gobernaciones complement when municipal capacity is exceeded, and the nation intervenes when departmental capacity is exceeded. UNGRD chairs three Comités Nacionales (one per proceso), articulates with CDGRD and CMGRD, manages the FNGRD, and triggers the declaratoria de Desastre or Calamidad Pública mechanisms.","La Ley 1523 de 2012 establece el Sistema Nacional de Gestión del Riesgo de Desastres (SNGRD) y crea a la UNGRD como su entidad coordinadora nacional. Distribuye responsabilidades en tres procesos misionales: conocimiento del riesgo, reducción del riesgo y manejo de desastres. El artículo 27 establece el principio de subsidiariedad — las alcaldías son primeras respondientes, las gobernaciones complementan cuando se supera la capacidad municipal y la Nación interviene cuando se supera la capacidad departamental. La UNGRD preside tres Comités Nacionales (uno por proceso), articula con CDGRD y CMGRD, gestiona el FNGRD y dispara los mecanismos de declaratoria de Desastre o Calamidad Pública.","research/download-md/UNGRD-Plan-Nacional-El-Nino.md|research/humanitarian-aid-colombia/humanitarian-aid-context.md","local|local"
