"id","role","phase","region","topic","question_en","question_es","answer_en","answer_es","references","ref_types"
"local-community-001","local-community","pre","la-mojana","early-warning","How do I know the Cara de Gato dike is about to fail again?","¿Cómo me doy cuenta de que el dique de Cara de Gato va a fallar otra vez?","Watch for filtraciones — water seeping through the dike body — and for the Río Cauca rising fast at La Coquera or Achí. The Centro Regional de Pronóstico de La Mojana and IDEAM's Boletín de Alertas Hidrológicas mark the Cauca subzone in red when a breach is likely. In 2024 communities reported filtraciones to the JAC and the CMGRD several days before the rupture and that bought hours of evacuation time, so don't wait for an official siren — report what you see.","Pendiente de las filtraciones — agua que se cuela por el cuerpo del dique — y de que el Cauca suba rápido en La Coquera o Achí. El Centro Regional de Pronóstico de La Mojana y el Boletín de Alertas Hidrológicas del IDEAM ponen en rojo la subzona del Cauca cuando hay alta probabilidad de ruptura. En 2024 las comunidades avisaron a la JAC y al CMGRD varios días antes de que rompiera y eso dio horas para evacuar, así que no espere una sirena oficial: avise lo que vea.","research/download-md/ACAPS-2024-La-Mojana-Flooding.md|research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|https://www.ideam.gov.co/sala-de-prensa/boletines/Bolet%C3%ADn-de-Alertas-Hidrol%C3%B3gicas-%28BAH%29","local|local|cloud"
"local-community-002","local-community","pre","la-mojana","early-warning","Whose alerts should I actually believe?","¿A quién le creo cuando suene una alerta?","Trust three sources together: the JAC president because they know who is filtrando water from the dike, the CMGRD of your municipality because they relay IDEAM and Corpomojana alerts, and the radio comunitaria. In Guaranda the SAT comunitario Nueva Esperanza has been issuing reliable reports since 2024 by combining IDEAM data with what people see on the ground. If only one of them is shouting and the others are quiet, ask why before moving — but if two coincide, start preparing.","Confíe en tres voces juntas: el presidente o presidenta de la JAC porque sabe quién está reportando filtraciones, el CMGRD del municipio porque replica las alertas del IDEAM y Corpomojana, y la radio comunitaria. En Guaranda el SAT comunitario Nueva Esperanza viene dando reportes confiables desde 2024 cruzando datos del IDEAM con lo que la gente ve. Si una sola fuente grita y las otras callan, pregunte por qué antes de moverse; si dos coinciden, empiece a alistar.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
"local-community-003","local-community","pre","putumayo","early-warning","In Mocoa, what signs tell me an avalancha could come tonight?","En Mocoa, ¿qué señales me dicen que esta noche puede venir una avalancha?","Heavy convective rain that does not stop after one or two hours over the headwaters of the Quebradas Taruca, Taruquita, San Antonio, Conejo, Almorzadero or the Ríos Mulato and Sangoyaco is the main warning. If the quebrada near your house turns muddy, stones start rumbling downstream, the water turns brown and smells like earth, or the level jumps suddenly, leave for high ground immediately — that is the same pattern that triggered the 31 March 2017 avenida torrencial. Do not wait for officials to call: in 2017 the urban areas were hit at midnight with very little warning.","Una lluvia fuerte tipo aguacero que no para por una o dos horas sobre las cabeceras de las Quebradas Taruca, Taruquita, San Antonio, Conejo, Almorzadero o los Ríos Mulato y Sangoyaco es la señal principal. Si la quebrada al lado de la casa se vuelve lodo, empiezan a rodar piedras, el agua se ve marrón y huele a tierra, o el nivel sube de un golpe, salga para zona alta ya — ese es el mismo patrón que disparó la avenida torrencial del 31 de marzo de 2017. No espere a que avisen oficialmente: en 2017 los barrios fueron golpeados a media noche con muy poco aviso.","research/download-md/UNAL-Catastrofe-Mocoa.md|research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md|research/download-md/Mocoa-DiagnosticoRiesgos-2023.md","local|local|local"
"local-community-004","local-community","pre","putumayo","early-warning","In Bajo Putumayo what does it mean when the Río Putumayo passes 11 metres at Puerto Asís?","En Bajo Putumayo, ¿qué significa que el Río Putumayo pase los 11 metros en Puerto Asís?","Eleven metres at Puerto Asís is red alert — the historical record is 12.5 m and in July 2025 the river hit 11.5 m, which forced the Gobernación to declare calamidad pública departamental by Decreto 0472. When IDEAM publishes that level, ribereño communities in Puerto Asís, Puerto Leguízamo and Puerto Guzmán should already be moving belongings to higher floors, sending kids and elders to family houses on tierra firme, and tying up the canoa where it can be reached. The Río Caquetá behaves the same way and rises just as fast.","Once metros en Puerto Asís es alerta roja — el récord histórico es 12,5 m y en julio de 2025 el río llegó a 11,5 m, lo que llevó a la Gobernación a declarar calamidad pública departamental por Decreto 0472. Cuando el IDEAM publique ese nivel las comunidades ribereñas de Puerto Asís, Puerto Leguízamo y Puerto Guzmán ya deberían estar subiendo cosas al segundo piso, mandando niños y mayores a casas en tierra firme, y amarrando la canoa donde la pueda alcanzar. El Caquetá se comporta igual y sube igual de rápido.","research/download-md/OCHA-SitRep-Inundaciones-Amazonia-Orinoquia-2025.md","local"
"local-community-005","local-community","pre","la-mojana","preparedness","What should the family emergency bag have if we live in La Mojana?","¿Qué debe llevar la mochila de emergencia de la familia si vivimos en La Mojana?","Pack documents — cédulas, tarjetas de identidad, registros civiles, libreta militar, EPS, escrituras — sealed in a plastic bag inside another plastic bag because everything is going to be wet for weeks. Add three days of agua potable per person, comida no perecedera (panela, atún, galletas, arroz), a flashlight, a whistle, basic medicines for chronic conditions, sanitary pads, baby formula if you have a small child, and a fully charged phone with a power bank. Because in La Mojana the water can stay for months, also pre-think where the chinchorro and the kerosene stove will go.","Meta los documentos — cédulas, tarjetas de identidad, registros civiles, libreta militar, carné de la EPS, escrituras — sellados en bolsa plástica dentro de otra bolsa porque todo va a estar mojado por semanas. Agregue agua potable para tres días por persona, comida no perecedera (panela, atún, galletas, arroz), una linterna, un pito, medicamentos básicos para enfermedades crónicas, toallas higiénicas, fórmula si hay bebé, y un celular cargado con power bank. Como en La Mojana el agua puede durar meses, piense también dónde va el chinchorro y la estufa de petróleo.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/ACAPS-2024-La-Mojana-Flooding.md","local|local"
"local-community-006","local-community","pre","putumayo","preparedness","If I live on a hillside in Mocoa, what should I have ready?","Si vivo en una ladera de Mocoa, ¿qué debo tener listo?","Have an emergency bag at the door with documents, water, food for 24 hours, lantern, whistle, medicines, and good shoes — not chanclas — because in a flash flood you may have to run uphill at night. Identify two evacuation routes upward (never along the quebrada) and the closest punto de encuentro on a high ridge agreed with the family. The Mocoa 2023 risk diagnostic shows that the highest risk barrios — San Miguel, Miraflores, El Progreso, Puente Mulato — should leave at the first heavy rain, not wait. Keep the family WhatsApp group ready so you can mark yourself safe.","Tenga una mochila lista en la puerta con documentos, agua, comida para 24 horas, linterna, pito, medicamentos y zapatos buenos — no chanclas — porque en una avenida torrencial puede tocar correr cuesta arriba de noche. Identifique dos rutas de evacuación hacia arriba (nunca por la quebrada) y un punto de encuentro en una loma alta acordado con la familia. El diagnóstico de riesgos de Mocoa 2023 muestra que los barrios de mayor riesgo — San Miguel, Miraflores, El Progreso, Puente Mulato — deben salir con el primer aguacero fuerte, no esperar. Tenga listo el grupo de WhatsApp familiar para marcarse a salvo.","research/download-md/Mocoa-DiagnosticoRiesgos-2023.md|research/download-md/UNAL-Catastrofe-Mocoa.md","local|local"
"local-community-007","local-community","pre","la-mojana","livestock","What do I do with the ganado before the flood arrives?","¿Qué hago con el ganado antes de que llegue la inundación?","Move animals to tierras altas — camellones, lomas, the soccer field of the corregimiento — as soon as the dike shows filtraciones or the river starts rising, not after. In May 2024 about 40,000 cabezas had to be moved in Sucre and Córdoba and many died on the road because people waited too long; another 7,000 stayed without pasto. Coordinate with the JAC to share trucks, planchones and high ground; the AUNAP and ICA also activate the Fondo de Apoyo Agropecuario to help fishermen and ganaderos, but registration via the alcaldía is needed first.","Mueva los animales para tierras altas — camellones, lomas, la cancha del corregimiento — apenas el dique muestre filtraciones o el río empiece a subir, no después. En mayo de 2024 hubo que mover unas 40.000 cabezas en Sucre y Córdoba y muchas murieron en el camino porque se esperó mucho; otras 7.000 quedaron sin pasto. Coordine con la JAC para compartir camiones, planchones y terrenos altos; AUNAP e ICA también activan el Fondo de Apoyo Agropecuario para pescadores y ganaderos pero hay que registrarse primero en la alcaldía.","research/download-md/ACAPS-2024-La-Mojana-Flooding.md","local"
"local-community-008","local-community","pre","la-mojana","preparedness","How do I protect documents and valuables before the water comes?","¿Cómo protejo documentos y bienes antes de que llegue el agua?","Photocopy all the documents and save digital photos in WhatsApp or email so you have a copy in the cloud. Originals go inside a sealed plastic bag with rice or silica, then in a metal lata or hermetic plastic box. Lift muebles, mattresses, school books and the registro de vacunas of the kids onto bricks or a second floor; tie down the gas cylinder and turn off energy at the breaker before leaving. Money, electronics and motor parts of the moto or bomba are what get robbed first if the house is left empty, so move them with you.","Saque fotocopia de todos los documentos y guarde fotos en WhatsApp o el correo para tener copia en la nube. Los originales van en bolsa plástica sellada con arroz o silica, dentro de una lata metálica o caja hermética. Suba muebles, colchones, cuadernos y el registro de vacunas de los pelados sobre ladrillos o a un segundo piso; amarre la pipeta de gas y baje el breaker antes de irse. La plata, los aparatos y las partes de la moto o la bomba son lo primero que se roba si la casa queda sola, así que esos se llevan con uno.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
"local-community-009","local-community","pre","generic","preparedness","Who decides when the family evacuates?","¿Quién decide en la familia cuándo salimos?","Decide together before the emergency, not during it — name one adult as the one who calls the move and a backup if that person is not home. Agree on a trigger you all understand: in La Mojana it can be IDEAM red alert plus filtraciones in the dique; in Mocoa it is heavy rain over two hours plus the quebrada turning brown; in Bajo Putumayo it is the Río Putumayo passing 11 m at Puerto Asís. Once the trigger hits, do not wait to be told twice — kids, elders and people with disability go first.","Decidan juntos antes de la emergencia, no en plena emergencia — nombren a un adulto que da la orden y a un suplente si esa persona no está. Pónganse de acuerdo en un disparador claro: en La Mojana puede ser alerta roja del IDEAM más filtraciones en el dique; en Mocoa es lluvia fuerte por más de dos horas más la quebrada poniéndose marrón; en Bajo Putumayo es el Río Putumayo pasando los 11 m en Puerto Asís. Cuando se cumpla el disparador, no espere que se lo repitan — niños, mayores y personas con discapacidad salen primero.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/Mocoa-DiagnosticoRiesgos-2023.md|research/download-md/OCHA-SitRep-Inundaciones-Amazonia-Orinoquia-2025.md","local|local|local"
"local-community-010","local-community","pre","generic","disability-inclusion","How do I prepare for evacuation if there is an elder, a person with disability, or a pregnant woman in the house?","¿Cómo me preparo si en la casa hay una persona mayor, con discapacidad o una mujer embarazada?","Tell the JAC and the CMGRD now — before anything happens — so the censo de personas vulnerables already has them. Have an extra bag with their medicines for at least 15 days, EPS card, the prescriptions, walking aids, pañales if used, and contact of the medical specialist. Plan how you will physically move them: who carries the silla de ruedas, who has the keys to the vecino with a vehicle, where the closest punto de encuentro is. In Guaranda CMGRDs have flagged that adultos mayores without caregivers are one of the most affected groups, so do not assume someone else will come for them.","Avise ya — antes que pase algo — a la JAC y al CMGRD para que el censo de personas vulnerables ya las tenga registradas. Tenga una mochila aparte con sus medicamentos para al menos 15 días, carné de la EPS, las fórmulas médicas, ayudas para caminar, pañales si los usa, y el teléfono del médico tratante. Planee cómo los van a mover físicamente: quién carga la silla de ruedas, quién tiene las llaves del vecino con vehículo, dónde está el punto de encuentro más cercano. En Guaranda los CMGRD han alertado que las personas adultas mayores sin cuidadores son uno de los grupos más afectados, así que no piense que va a venir alguien más por ellas.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
