"id","role","phase","region","topic","question_en","question_es","answer_en","answer_es","references","ref_types"
"first-respondants-001","first-respondants","pre","generic","ppe-equipment","What personal protective equipment do I need pre-positioned before the rainy season?","¿Qué equipo de protección personal necesito tener preposicionado antes de la temporada invernal?","Per CRECL/Defensa Civil swift-water rescue standards, every responder needs a Type V PFD lifejacket rated for moving water (not a fishing vest), throw bag with 20 m floating rope, helmet rated for water rescue (not a construction hardhat), wetsuit or quick-dry uniform, sturdy ankle boots with non-slip sole, knife with cutaway sheath, whistle, headlamp with spare batteries, and personal medical/ID lanyard. Add work gloves and N95 masks for body-recovery and debris work post-event. Equipment must be inspected and signed off in the inventario at the beginning of each rainy cycle.","Según los estándares CRECL/Defensa Civil para rescate en aguas rápidas, cada socorrista debe tener chaleco salvavidas Tipo V certificado para corrientes (no chaleco de pesca), bolso de cuerda con 20 m de soga flotante, casco para rescate acuático (no casco de construcción), wetsuit o uniforme de secado rápido, botas de tobillo con suela antideslizante, cuchillo con vaina de liberación rápida, pito, linterna frontal con pilas de repuesto, y placa personal médica/de identificación. Agrega guantes de trabajo y mascarillas N95 para manejo de cadáveres y escombros post-evento. El equipo debe ser inspeccionado y firmado en el inventario al inicio de cada ciclo invernal.","",""
"first-respondants-002","first-respondants","pre","la-mojana","pre-positioning","How should I pre-position rescue boats and motors for La Mojana season?","¿Cómo debo preposicionar lanchas y motores fuera de borda para la temporada en La Mojana?","La Mojana is a fluvial floodplain — overland vehicle access disappears once Cara de Gato or Los Arrastres rupture, so boats are the only mobility. Pre-position johnboats and lanchas con motor 15-40 HP at municipal cabeceras of San Jacinto del Cauca, Ayapel, San Benito Abad, Guaranda, Majagual and San Marcos before April. Each boat needs spare propeller, tools, two 5-gallon fuel cans with extra mixing oil, and at least 3 PFDs. Coordinate with Armada Nacional Río Magdalena/Cauca patrols and CMGRD for fuel resupply chains, because by month 2 of the emergency gasoline becomes scarce in flooded zones.","La Mojana es una planicie fluvial — el acceso terrestre desaparece cuando se rompe Cara de Gato o Los Arrastres, así que las lanchas son la única movilidad. Preposiciona johnboats y lanchas con motor de 15-40 HP en las cabeceras municipales de San Jacinto del Cauca, Ayapel, San Benito Abad, Guaranda, Majagual y San Marcos antes de abril. Cada lancha requiere hélice de repuesto, herramientas, dos canecas de 5 galones con aceite de mezcla extra, y al menos 3 chalecos. Coordina con la Armada Nacional patrullas Río Magdalena/Cauca y con el CMGRD las cadenas de reabastecimiento de combustible, porque al segundo mes de emergencia escasea la gasolina en zonas inundadas.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/CERF-2022-La-Mojana-Rapid-Response.md","local|local"
"first-respondants-003","first-respondants","pre","putumayo","training","What refresher training should I do before Mocoa rainy season?","¿Qué curso de actualización debo hacer antes de la temporada de lluvias en Mocoa?","Mocoa needs avenida-torrencial-specific training, not just standard flood response. Refresh USAR-light certification (Cruz Roja/Defensa Civil), CRECL swift-water rescue Level II for moving water with debris, and rope rescue NFPA 1006 for vertical extractions on Taruca, Sangoyaco and Mulato slopes. Drill dry-run scenarios using the SGC 2017 movement-in-mass zonification of Taruca-Taruquita and the Mocoa 2023 risk diagnostic amenaza alta polygons. Coordinate with Bomberos Mocoa and Ejército Brigada 27 Selva for joint exercises before March.","Mocoa requiere entrenamiento específico de avenida torrencial, no sólo respuesta a inundación común. Refresca tu certificación USAR-light (Cruz Roja/Defensa Civil), CRECL rescate en aguas rápidas Nivel II para corriente con escombros, y rescate vertical NFPA 1006 para extracciones en las laderas de Taruca, Sangoyaco y Mulato. Ensaya simulacros con la zonificación de movimientos en masa SGC 2017 de Taruca-Taruquita y los polígonos de amenaza alta del diagnóstico de riesgos de Mocoa 2023. Coordina con Bomberos Mocoa y Ejército Brigada 27 Selva ejercicios conjuntos antes de marzo.","research/download-md/Mocoa-DiagnosticoRiesgos-2023.md|research/download-md/UNAL-Catastrofe-Mocoa.md","local|local"
"first-respondants-004","first-respondants","pre","putumayo","hazard-mapping","Which puntos críticos in Mocoa typically collapse first?","¿Qué puntos críticos en Mocoa colapsan primero?","Per the Mocoa 2023 risk diagnostic and the 2017 catastrophe pattern, the highest-priority points are: confluence of quebradas Taruca + Taruquita (mudflow generation zone), barrios San Miguel, Miraflores, El Progreso, Puente Mulato, Jorge Eliécer Gaitán and Los Laureles (totally destroyed in 2017), the Sangoyaco crossing in Barrio Progreso (re-broke in 17 Jul 2017), and bridges over Río Mulato and Sangoyaco. Houses on rivers banks deforested upstream are first to be swept. Have rescue teams pre-stage at the perimeter of these polygons during alerta naranja or roja.","Según el diagnóstico de riesgos de Mocoa 2023 y el patrón del evento del 2017, los puntos de mayor prioridad son: confluencia quebradas Taruca + Taruquita (zona generadora del flujo de detritos), barrios San Miguel, Miraflores, El Progreso, Puente Mulato, Jorge Eliécer Gaitán y Los Laureles (totalmente destruidos en 2017), el cruce del Sangoyaco en Barrio Progreso (volvió a ceder el 17 jul 2017), y puentes sobre Río Mulato y Sangoyaco. Las casas en orillas con deforestación aguas arriba son las primeras en ser arrastradas. Pre-ubica equipos en el perímetro de estos polígonos durante alerta naranja o roja.","research/download-md/Mocoa-DiagnosticoRiesgos-2023.md|research/download-md/UNAL-Catastrofe-Mocoa.md|research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md","local|local|local"
"first-respondants-005","first-respondants","pre","la-mojana","early-warning","What signals tell me a Cara de Gato breach is imminent?","¿Qué señales me dicen que es inminente una ruptura en Cara de Gato?","Visible filtraciones (water seeping through the dike body), formation of pequeños chorros downstream of the levee, sudden subsidence on the dike crest, and Río Cauca level above ~3.5 m at La Coquera gauge. In 2024 the rebuilt jarillón filtró around 21 April and breached on 6 May — about 15 days warning. JACs along the dike report directly to CMGRD via WhatsApp; Cruz Roja and Defensa Civil patrols should walk the dike daily once IDEAM has the subzona Cauca-Brazo de Loba in alerta naranja. CCorpomojana also issues alertas rojas for the Río San Jorge.","Filtraciones visibles (agua que se cuela por el cuerpo del dique), formación de pequeños chorros aguas abajo del jarillón, hundimientos súbitos en la corona del dique, y nivel del Río Cauca por encima de ~3.5 m en la mira de La Coquera. En 2024 el jarillón reconstruido filtró cerca del 21 de abril y se rompió el 6 de mayo — unos 15 días de aviso. Las JAC a lo largo del dique reportan directamente al CMGRD por WhatsApp; patrullas de Cruz Roja y Defensa Civil deben recorrer el dique diariamente una vez IDEAM tenga la subzona Cauca-Brazo de Loba en alerta naranja. CCorpomojana también emite alertas rojas para el Río San Jorge.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/ACAPS-2024-La-Mojana-Flooding.md","local|local"
"first-respondants-006","first-respondants","pre","generic","coordination","How does coordination with the CMGRD/PMU work before an event?","¿Cómo funciona la coordinación con el CMGRD/PMU antes del evento?","The CMGRD (Consejo Municipal de Gestión del Riesgo de Desastres) is the lead at municipal level and convenes alcalde, secretaría de gobierno, salud, bomberos, Cruz Roja, Defensa Civil, Policía and Ejército. Once an alerta naranja is declared, a PMU (Puesto de Mando Unificado) is activated as the operational tactical hub. As first responder, register your team's roster, equipment and fuel quota with the CMGRD secretary, identify your assigned cuadrante, and confirm radio frequencies. Bring your own EDAN-format pads and printed contact list — institutional connectivity often fails in the first 24 hours.","El CMGRD (Consejo Municipal de Gestión del Riesgo de Desastres) lidera a nivel municipal y convoca al alcalde, secretaría de gobierno, salud, bomberos, Cruz Roja, Defensa Civil, Policía y Ejército. Una vez declarada alerta naranja, se activa un PMU (Puesto de Mando Unificado) como hub operativo táctico. Como primer respondiente, registra tu roster, equipo y cupo de combustible con la secretaría del CMGRD, identifica tu cuadrante asignado, y confirma las frecuencias de radio. Lleva tus propias planillas de EDAN y la lista de contactos impresa — la conectividad institucional suele fallar en las primeras 24 horas.","research/humanitarian-aid-colombia/humanitarian-aid-context.md","local"
"first-respondants-007","first-respondants","pre","la-mojana","shifts","How do I plan shift rotations for a multi-month flood emergency?","¿Cómo planifico la rotación de turnos para una emergencia de varios meses?","La Mojana is a chronic emergency — Cara de Gato has flooded 4+ years continuously since Aug 2021. Plan for 12-hour shifts in 14-day rotations with mandatory 7 days off, not the typical 72-hour surge model. Per CMGRD reports, sustained operations require minimum two relevos identificados per puesto. Build the operational period parameters into the PMGRD as OCHA recommended in June 2025: clarity on shift duration enables better resource and sustainability planning. Always rotate volunteers before they hit fatiga acumulada, especially boat operators and rope-rescue technicians.","La Mojana es emergencia crónica — Cara de Gato lleva más de 4 años inundada continuamente desde agosto de 2021. Planifica turnos de 12 horas en rotaciones de 14 días con 7 días obligatorios de descanso, no el modelo típico de 72 horas. Según reportes de los CMGRD, operaciones sostenidas requieren mínimo dos relevos identificados por puesto. Incorpora los parámetros de período operacional en el PMGRD como lo recomendó OCHA en junio de 2025: la claridad sobre duración de turnos permite mejor planificación de recursos y sostenibilidad. Siempre rota a los voluntarios antes de que lleguen a fatiga acumulada, especialmente operadores de lancha y técnicos de rescate vertical.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
"first-respondants-008","first-respondants","pre","putumayo","river-monitoring","How do I monitor Río Putumayo levels for early warning?","¿Cómo monitoreo los niveles del Río Putumayo para alerta temprana?","IDEAM publishes the Boletín de Alertas Hidrológicas (BAH) for the subzona del Putumayo. The reference gauge in Puerto Asís is the operational anchor: red alert was declared in July 2025 at 11.5 m, with historical record of 12.5 m. Above ~10 m start mobilizing boats; above ~11 m activate evacuation routes for ribereñas communities. Cross-check with Río Caquetá levels (Curillo, Solano, Cartagena del Chairá) which had two crecientes súbitas in May-July 2025 affecting 13,820 people. Local SAT in Mocoa monitors quebradas Mulato and Sangoyaco; subscribe to ODGRD Putumayo bulletins.","IDEAM publica el Boletín de Alertas Hidrológicas (BAH) para la subzona del Putumayo. La mira de referencia en Puerto Asís es el ancla operativa: en julio 2025 se declaró alerta roja a 11.5 m, con récord histórico de 12.5 m. Por encima de ~10 m inicia movilización de lanchas; por encima de ~11 m activa rutas de evacuación para comunidades ribereñas. Cruza con niveles del Río Caquetá (Curillo, Solano, Cartagena del Chairá) que tuvo dos crecientes súbitas en mayo-julio 2025 afectando 13.820 personas. El SAT local en Mocoa monitorea quebradas Mulato y Sangoyaco; suscríbete a boletines de la ODGRD Putumayo.","research/download-md/OCHA-SitRep-Inundaciones-Amazonia-Orinoquia-2025.md|research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md","local|local"
"first-respondants-009","first-respondants","pre","generic","comms","What comms gear must I have for when cell networks fail?","¿Qué equipo de comunicaciones debo tener para cuando se caigan las redes celulares?","Cell networks fall in the first 6-12 hours of any major flood — particularly avenidas torrenciales. Carry a VHF/UHF handheld radio programmed with CMGRD and emergency channels, a HF base station at the comando, at least one BGAN or Iridium satellite phone for the PMU, and a SPOT/inReach personal locator beacon for field teams. Keep a printed list of frequencies and PINs in a waterproof bag. Coordinate with Ejército and Policía for shared frequencies, and with the local radio aficionada (Liga Colombiana de Radioaficionados) which often becomes the only working channel.","Las redes celulares se caen en las primeras 6-12 horas de cualquier inundación grande — especialmente las avenidas torrenciales. Lleva radio VHF/UHF portátil programado con canales del CMGRD y emergencia, una base HF en el comando, al menos un teléfono satelital BGAN o Iridium para el PMU, y un baliza personal SPOT/inReach para equipos en terreno. Guarda la lista de frecuencias y PINs impresa en bolsa estanca. Coordina con Ejército y Policía frecuencias compartidas, y con la radio aficionada local (Liga Colombiana de Radioaficionados) que muchas veces es el único canal operativo.","",""
"first-respondants-010","first-respondants","pre","putumayo","mechanism-distinction","How is a Mocoa avenida torrencial different from regular flooding for response planning?","¿Cómo se diferencia una avenida torrencial en Mocoa de una inundación normal para planificar la respuesta?","An avenida torrencial is a flujo de detritos — water + mud + rock + woody debris moving at 5-15 m/s — not ponded water. Response time is minutes to a few hours, not days. The 2017 Mocoa event killed 314+ people in roughly 2 hours overnight; alerts didn't reach people because timing prevented warning. Plan for short pre-impact mobilization (15-30 min), no boat use during event (lethal), heavy reliance on rope/USAR-light technical extraction, and high probability of secondary réplicas for 48-72 h after primary flow. Contrast with La Mojana where you have days to mobilize and boats are the primary tool.","Una avenida torrencial es un flujo de detritos — agua + lodo + piedra + material vegetal moviéndose a 5-15 m/s — no agua estancada. El tiempo de respuesta es de minutos a pocas horas, no días. El evento de Mocoa 2017 mató más de 314 personas en aproximadamente 2 horas en la madrugada; las alertas no llegaron porque la hora del evento impidió el aviso. Planifica movilización pre-impacto corta (15-30 min), sin uso de lancha durante el evento (letal), alta dependencia de extracción técnica con cuerda/USAR-light, y alta probabilidad de réplicas secundarias por 48-72 h después del flujo principal. Contrasta con La Mojana donde tienes días para movilizar y las lanchas son la herramienta primaria.","research/download-md/UNAL-Catastrofe-Mocoa.md|research/download-md/ACAPS-2017-Mocoa-Floods-Mudslides.md","local|local"
