"id","role","phase","region","topic","question_en","question_es","answer_en","answer_es","references","ref_types"
"local-authority-001","local-authority","pre","generic","early-warning","When should I, as alcalde, convene the CMGRD to address an incoming hydrometeorological alert?","¿Cuándo debo, como alcalde o alcaldesa, convocar el CMGRD frente a una alerta hidrometeorológica entrante?","Convene the CMGRD as soon as IDEAM upgrades any sub-zone covering your municipality to alerta amarilla and immediately when alerta naranja or roja is issued. Article 28 of Ley 1523/2012 makes the alcalde the highest authority and convener of the Consejo. Use IDEAM's Boletín de Alertas Hidrológicas (BAH), the ERFEN ENSO bulletin, and any UNGRD circular (e.g., alistamiento ante La Niña/El Niño) as the formal trigger. Document the convocation in the acta de sesión so the CMGRD's decisions have legal effect for budget and operational orders.","Convoque el CMGRD apenas el IDEAM eleve cualquier subzona que cubra su municipio a alerta amarilla, e inmediatamente ante alerta naranja o roja. El artículo 28 de la Ley 1523 de 2012 establece al alcalde como máxima autoridad y convocante del Consejo. Use el Boletín de Alertas Hidrológicas (BAH) del IDEAM, el comunicado ERFEN del ENSO y las circulares de la UNGRD (por ejemplo, alistamiento ante La Niña o El Niño) como detonante formal. Deje constancia de la convocatoria en el acta de sesión para que las decisiones del CMGRD tengan efecto jurídico sobre presupuesto y órdenes operativas.","research/download-md/UNGRD-Plan-Nacional-El-Nino.md|https://www.ideam.gov.co/sala-de-prensa/boletines","local|cloud"
"local-authority-002","local-authority","pre","la-mojana","early-warning","How do I, as alcalde of San Jacinto del Cauca, monitor the Cara de Gato dike and decide when to escalate?","¿Cómo monitoreo, como alcalde de San Jacinto del Cauca, el dique de Cara de Gato y cuándo escalar?","Maintain a daily report channel with the contratista of the jarillón, IDEAM's hydrological forecast for the Río Cauca subzone, and the community SAT in vereda Cara de Gato. Filtraciones (visible seepage), erosion of the talud, and sustained rises above ~3.5 m at La Coquera are the empirical precursors that preceded the August 2021 and May 2024 breaches. As soon as filtraciones are confirmed, send oficio to UNGRD, the CDGRD Bolívar, and the Fondo Adaptación; pre-position evacuation routes; and prepare the borrador de decreto de calamidad pública so it can be signed within hours.","Mantenga un canal de reporte diario con el contratista del jarillón, el pronóstico hidrológico del IDEAM para la subzona del Río Cauca y el SAT comunitario de la vereda Cara de Gato. Las filtraciones visibles, la erosión del talud y los niveles sostenidos sobre ~3.5 m en La Coquera son los precursores empíricos que antecedieron las rupturas de agosto de 2021 y mayo de 2024. Apenas se confirmen filtraciones, envíe oficio a UNGRD, al CDGRD Bolívar y al Fondo Adaptación; preposicione rutas de evacuación; y deje listo el borrador de decreto de calamidad pública para firmarlo en horas.","research/download-md/ACAPS-2024-La-Mojana-Flooding.md|research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/flood-tagging-and-reference-points.md","local|local|local"
"local-authority-003","local-authority","pre","la-mojana","plan-municipal","How should I update the Plan Municipal de Gestión del Riesgo de Desastres (PMGRD) to reflect the chronic La Mojana scenario?","¿Cómo actualizo el Plan Municipal de Gestión del Riesgo de Desastres (PMGRD) para reflejar el escenario crónico de La Mojana?","OCHA's June 2025 factsheet recommends updating PMGRDs once UNGRD publishes the official guía técnica, ensuring alignment with Ley 1523/2012. Incorporate the new affected territories that were not historically flooded (e.g., zones in Majagual, Guaranda, San Benito Abad and Caimito), the contamination of fuentes hídricas including mercury, and the chronic mental health impact. Move from static capacity inventories to a functional analysis: human/technical/logistical resources, current operational availability, and how long they can be sustained during prolonged emergencies. Define operational period parameters (turnos, rotación) explicitly so the response can be sustained for months, not days.","La Factsheet de OCHA de junio de 2025 recomienda actualizar los PMGRD una vez la UNGRD publique la guía técnica oficial, asegurando alineación con la Ley 1523 de 2012. Incorpore los nuevos territorios afectados que no eran históricamente inundables (zonas de Majagual, Guaranda, San Benito Abad y Caimito), la contaminación de fuentes hídricas incluyendo mercurio, y el impacto crónico en salud mental. Pase de inventarios estáticos de capacidades a un análisis funcional: recursos humanos, técnicos y logísticos, disponibilidad operativa actual y por cuánto tiempo se sostienen en emergencias prolongadas. Defina con claridad los periodos operacionales (turnos, rotación) para sostener la respuesta meses, no días.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
"local-authority-004","local-authority","pre","putumayo","plan-municipal","How do I, as alcalde of Mocoa, integrate the Estudios Básicos de Riesgo (Decreto 052 de 2023) into preparedness?","¿Cómo integro, como alcalde de Mocoa, los Estudios Básicos de Riesgo (Decreto 052 de 2023) en la preparación?","Decreto 052 de 2023 adopts the municipal estudios básicos under Ley 1523/2012 articles 12, 14 and 27 and Decreto 1077/2015. Use the amenaza alta polygons over Quebradas Taruca, Taruquita, San Antonio, Conejo, Almorzadero and Ríos Sangoyaco and Mulato to drive evacuation route mapping, school suspension thresholds and pre-deployment of Bomberos and Defensa Civil before the rainy season peaks (March-May). Cross-reference CORPOAMAZONIA's Resolución 447 de 2017 polygons for the avenida torrencial-affected zones. The PMGRD must declare these zones as suelo de protección por riesgo and forbid new urbanización.","El Decreto 052 de 2023 adopta los estudios básicos municipales bajo los artículos 12, 14 y 27 de la Ley 1523 de 2012 y el Decreto 1077 de 2015. Use los polígonos de amenaza alta sobre las quebradas Taruca, Taruquita, San Antonio, Conejo, Almorzadero y los ríos Sangoyaco y Mulato para definir rutas de evacuación, umbrales de suspensión de clases y predespliegue de Bomberos y Defensa Civil antes del pico de la temporada de lluvias (marzo-mayo). Cruce con los polígonos de la Resolución 447 de 2017 de CORPOAMAZONIA para zonas afectadas por avenida torrencial. El PMGRD debe declarar esas zonas como suelo de protección por riesgo y prohibir nueva urbanización.","research/download-md/Mocoa-DiagnosticoRiesgos-2023.md","local"
"local-authority-005","local-authority","pre","generic","budget","How do I activate the Fondo Municipal de Gestión del Riesgo before the rainy season hits?","¿Cómo activo el Fondo Municipal de Gestión del Riesgo antes de que llegue la temporada de lluvias?","Article 54 of Ley 1523/2012 obliges every municipality to maintain a Fondo Municipal de Gestión del Riesgo (FMGRD) with three sub-cuentas: conocimiento, reducción y manejo de desastres. Before the rainy season, the alcalde must issue a decreto reglamentario assigning anticipated resources to the manejo subcuenta, prioritising albergue rental, kit pre-positioning, fuel for fluvial transport and contracts with suppliers. Coordinate with the Secretaría de Hacienda to ensure liquidity is available within 72 h of an emergency declaration. Without the decreto, transfers from FNGRD via subsidiariedad cannot be properly absorbed.","El artículo 54 de la Ley 1523 de 2012 obliga a todo municipio a mantener un Fondo Municipal de Gestión del Riesgo (FMGRD) con tres subcuentas: conocimiento, reducción y manejo de desastres. Antes de la temporada de lluvias, el alcalde debe expedir un decreto reglamentario asignando recursos previstos a la subcuenta de manejo, priorizando arriendo de albergues, preposicionamiento de kits, combustible para transporte fluvial y contratos con proveedores. Coordine con la Secretaría de Hacienda para asegurar liquidez en 72 horas tras declarar emergencia. Sin ese decreto, las transferencias del FNGRD por subsidiariedad no se absorben adecuadamente.","research/download-md/UNGRD-Plan-Nacional-El-Nino.md","local"
"local-authority-006","local-authority","pre","la-mojana","preposicionamiento","What supplies should I, as alcalde of Ayapel or San Benito Abad, pre-position before the Cauca peak in April?","¿Qué insumos debo preposicionar, como alcalde de Ayapel o San Benito Abad, antes del pico del Cauca en abril?","Pre-position alimentary kits, hygiene kits, hammocks and frazadas in dry warehouses, calibrated to the 2024 caseload (in 2024 ~400 kits could not reach Mamón, Pumpuma and Los Ossas in time due to logistical obstacles). Stock chlorination tablets, ORS and antifungal medication anticipating dermatosis from prolonged water contact. Pre-contract johnson-style boats and mototaxis fluviales since road access is lost early. Negotiate with FAO/PMA/UNICEF and the ELC Córdoba for complementary kits, since municipal capacity alone is insufficient for a multi-month emergency.","Preposicione kits alimentarios, kits de higiene, hamacas y frazadas en bodegas secas, calibrados al caso 2024 (en 2024 unos 400 kits no llegaron oportunamente a Mamón, Pumpuma y Los Ossas por obstáculos logísticos). Almacene tabletas de cloración, SRO y antimicóticos previendo dermatosis por contacto prolongado con agua. Precontrate lanchas tipo johnson y mototaxis fluviales pues el acceso terrestre se pierde temprano. Coordine con FAO/PMA/UNICEF y el ELC Córdoba kits complementarios, pues la capacidad municipal sola es insuficiente para una emergencia de meses.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/CERF-2022-La-Mojana-Rapid-Response.md","local|local"
"local-authority-007","local-authority","pre","putumayo","preposicionamiento","What should we pre-position in Puerto Asís and Puerto Leguízamo before the Río Putumayo July peak?","¿Qué debemos preposicionar en Puerto Asís y Puerto Leguízamo antes del pico del río Putumayo en julio?","Stock potable water, water purification, food kits and NFI kits in cabeceras and key veredas before mid-June; the Río Putumayo reached 11.5 m red alert in July 2025 (record 12.5 m), with 16,975 damnificados across the department. Reserve fluvial transport (potrillos, chalupas, lanchas) since the carretera Mocoa-Pasto and bridges over Río Negro have been lost in 2025. Coordinate with ELC Putumayo (NRC, CRC, Pastoral Social, World Vision, FAO, WFP) for complementary stocks, prioritising Puerto Asís, Puerto Guzmán, Colón and Santiago. Coordinate access with the Fuerza Pública due to GANE presence in Bajo Putumayo.","Almacene agua potable, equipos de potabilización, kits alimentarios y NFI en cabeceras y veredas clave antes de mediados de junio; el río Putumayo alcanzó alerta roja de 11.5 m en julio de 2025 (récord 12.5 m), con 16.975 damnificados departamentales. Reserve transporte fluvial (potrillos, chalupas, lanchas) pues la carretera Mocoa-Pasto y puentes sobre Río Negro se perdieron en 2025. Coordine con el ELC Putumayo (NRC, CRC, Pastoral Social, World Vision, FAO, PMA) stocks complementarios, priorizando Puerto Asís, Puerto Guzmán, Colón y Santiago. Coordine acceso con la Fuerza Pública por presencia GANE en Bajo Putumayo.","research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md|research/download-md/OCHA-SitRep-Inundaciones-Amazonia-Orinoquia-2025.md","local|local"
"local-authority-008","local-authority","pre","generic","coordination","How do I coordinate Bomberos, Defensa Civil and Cruz Roja under the CMGRD before an event?","¿Cómo coordino Bomberos, Defensa Civil y Cruz Roja bajo el CMGRD antes de un evento?","Under Ley 1523/2012 art. 28-29, the CMGRD chairs the territorial coordination of organismos de socorro. Hold a pre-rainy-season working session to verify rosters, equipment, communications, and to assign sectoriales: Bomberos for swift-water rescue and structural fire response, Defensa Civil for evacuation, censo and albergue logistics, and Cruz Roja Seccional for first aid, salud mental, water/sanitation and restablecimiento de contactos familiares. Sign a Plan de Emergencia y Contingencia (PEC) that maps zones, services and command lines so the PMU can be activated within hours of an event.","Bajo la Ley 1523 de 2012 (artículos 28-29), el CMGRD preside la coordinación territorial de los organismos de socorro. Realice una sesión previa a la temporada de lluvias para verificar rosters, equipos, comunicaciones y asignar sectoriales: Bomberos para rescate en aguas rápidas y respuesta estructural, Defensa Civil para evacuación, censo y logística de albergues, y Cruz Roja Seccional para primeros auxilios, salud mental, agua/saneamiento y restablecimiento de contactos familiares. Firme un Plan de Emergencia y Contingencia (PEC) que mapee zonas, servicios y líneas de mando para activar el PMU en horas tras el evento.","research/humanitarian-aid-colombia/humanitarian-aid-context.md","local"
"local-authority-009","local-authority","pre","generic","education","Under what criteria do we, as Secretaría de Educación, suspend classes preventively?","¿Bajo qué criterios suspendemos clases preventivamente, como Secretaría de Educación?","Suspension is triggered by alerta naranja or roja from IDEAM for inundación, deslizamiento or avenida torrencial covering the rural sede or any access route, by formal CMGRD decision under Ley 1523/2012, or when access roads are physically interrupted. The Secretaría de Educación municipal coordinates with the Secretaría de Educación departamental and ICBF, communicating school closures via Resolución and informing families through JAC, parroquia and emisora comunitaria. Plan in advance the strategy for catch-up: continuity through guías impresas or digitales when connectivity allows; in La Mojana 8 sedes were affected in San Benito Abad alone in 2024 with 6,200+ students facing barriers.","La suspensión se activa por alerta naranja o roja del IDEAM por inundación, deslizamiento o avenida torrencial sobre la sede rural o cualquier ruta de acceso, por decisión formal del CMGRD bajo la Ley 1523 de 2012, o cuando las vías de acceso quedan interrumpidas físicamente. La Secretaría de Educación municipal coordina con la departamental y el ICBF, comunicando cierre por Resolución e informando a las familias por JAC, parroquia y emisora comunitaria. Planifique con anticipación la estrategia de recuperación: continuidad con guías impresas o digitales cuando haya conectividad; en La Mojana solo en San Benito Abad se reportaron 8 sedes afectadas en 2024 y más de 6.200 estudiantes con barreras.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
"local-authority-010","local-authority","pre","generic","shelter","How do I pre-identify and equip albergues so they can be activated within 24 hours?","¿Cómo preidentifico y dejo listos los albergues para activarlos en 24 horas?","Maintain an actualizado inventory of public infrastructure (instituciones educativas, polideportivos, casas de la cultura, salones comunales) outside amenaza alta zones, signed off by Secretaría de Educación, Secretaría de Salud and CMGRD. For each, document capacity, water, power, sanitation, kitchen, security and accessibility for persons with disabilities. Pre-stage NFI kits, mattresses and lighting in nearby warehouses. Sign agreements with parroquias and comunidades for additional space. Apply Ley 1523 + Sphere standards: ≥3.5 m² per person sheltered, separate WASH for women/men, child-friendly space, GBV referral pathway and PMU registration of every entrant via censo.","Mantenga un inventario actualizado de infraestructura pública (instituciones educativas, polideportivos, casas de la cultura, salones comunales) fuera de zonas de amenaza alta, avalado por Secretaría de Educación, Secretaría de Salud y CMGRD. Para cada uno documente capacidad, agua, energía, saneamiento, cocina, seguridad y accesibilidad para personas con discapacidad. Preposicione kits NFI, colchonetas e iluminación en bodegas cercanas. Firme convenios con parroquias y comunidades para espacios adicionales. Aplique Ley 1523 más estándares Esfera: 3.5 m² o más por persona, WASH separados por sexo, espacio amigable para la niñez, ruta de remisión VBG y registro PMU de todo ingreso vía censo.","research/humanitarian-aid-colombia/humanitarian-aid-context.md","local"
