"id","role","phase","region","topic","question_en","question_es","answer_en","answer_es","references","ref_types"
"ngos-001","ngos","pre","la-mojana","operational-presence","How do we plan a multi-year NGO presence in La Mojana given the chronic-crisis profile?","¿Cómo planificamos una presencia multianual de ONG en La Mojana dado el perfil de crisis crónica?","Treat La Mojana as a 4+ year protracted emergency, not a one-off response. Since the August 2021 Cara de Gato breach the same 11 municipalities have been re-affected each cycle, so design programs in 24-36 month windows with built-in re-activation triggers tied to IDEAM hydrological alerts and Caño Rabón / La Coquera levels. Negotiate framework agreements with alcaldías de Sucre, Bolívar, Córdoba and with the ELC Córdoba so you can scale up under existing MOUs rather than re-starting paperwork at each pulse. Anchor your office or operational base in Ayapel, San Marcos or Majagual (Sincelejito hub) where Alianza Común La Mojana convenes 300+ JACs.","Tratar La Mojana como una emergencia prolongada de 4+ años, no como una respuesta puntual. Desde la ruptura del dique Cara de Gato en agosto de 2021 los mismos 11 municipios se han visto reafectados en cada ciclo, así que diseña programas en ventanas de 24-36 meses con disparadores de reactivación vinculados a las alertas hidrológicas del IDEAM y los niveles del Caño Rabón / La Coquera. Negocia convenios marco con las alcaldías de Sucre, Bolívar, Córdoba y con el ELC Córdoba para escalar bajo MOUs vigentes en lugar de rehacer trámites en cada pulso. Ancla tu oficina o base operativa en Ayapel, San Marcos o Majagual (hub de Sincelejito) donde la Alianza Común La Mojana convoca a 300+ JACs.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md|research/download-md/CERF-2022-La-Mojana-Rapid-Response.md","local|local"
"ngos-002","ngos","pre","la-mojana","prepositioning","How should we pre-position WASH and NFI kits ahead of a La Niña pulse in La Mojana?","¿Cómo deberíamos preposicionar kits WASH y NFI antes de un pulso de La Niña en La Mojana?","Pre-position in dry-access points that stay reachable when the floodplain inundates: Magangué, Caucasia, Sincelejo or Montería warehouses, not inside the cuenca. Stock should include filtros familiares de agua (UNICEF reached 1,666 families in the 2022 CERF response with this), kits de higiene with menstrual hygiene management items, jerry cans, hammocks, mosquiteros impregnados, water purification tablets and a small dignity-kit reserve. Sign supply agreements with proveedores locales in Sincelejo and Montería with 72-hour delivery clauses; if you wait until el dique se rompe the river is already cutting roads. Cross-check with WASH Cluster gap analyses to avoid duplication with UNICEF/OPS/Sahed.","Preposicionar en puntos de acceso seco que permanezcan llegables cuando el valle se inunda: bodegas en Magangué, Caucasia, Sincelejo o Montería, no dentro de la cuenca. El stock debe incluir filtros familiares de agua (UNICEF llegó a 1.666 familias en la respuesta CERF de 2022 con este insumo), kits de higiene con artículos de manejo de higiene menstrual, jerricanes, hamacas, mosquiteros impregnados, pastillas potabilizadoras y una reserva pequeña de dignity kits. Firma acuerdos de suministro con proveedores locales de Sincelejo y Montería con cláusulas de entrega a 72 horas; si esperas a que el dique se rompa el río ya cortó las carreteras. Cruza con los análisis de brechas del Clúster WASH para no duplicar con UNICEF/OPS/Sahed.","research/download-md/CERF-2022-La-Mojana-Rapid-Response.md|research/download-md/ACAPS-2024-La-Mojana-Flooding.md","local|local"
"ngos-003","ngos","pre","putumayo","staff-security","What does an NGO staff security plan need in Bajo Putumayo given GANE/EMC/CDF dynamics?","¿Qué debe contener un plan de seguridad del personal ONG en Bajo Putumayo dadas las dinámicas GANE/EMC/CDF?","The plan must read the conflict at faction level: Estado Mayor Central (EMC) facciones del frente Carolina Ramírez 'Iván Mordisco' y frente Raúl Reyes contra los Comandos de la Frontera (CDF). Map territorial control by corregimiento before each mission; coordinate notice with CICR (observador del ELC Putumayo) and review Defensoría's Alertas Tempranas vigentes. Require two-vehicle moves on the via Mocoa-Pasto and Puerto Asís-La Hormiga; never stay overnight in disputed corregimientos of Puerto Guzmán or Valle del Guamuez without ELC clearance. Implement a check-in protocol every 2-3 hours, no logos visible on vehicles in mixed-control zones, and a clear no-armed-escort policy to preserve principios humanitarios.","El plan debe leer el conflicto a nivel de facción: Estado Mayor Central (EMC) facciones del frente Carolina Ramírez 'Iván Mordisco' y frente Raúl Reyes contra los Comandos de la Frontera (CDF). Mapea el control territorial por corregimiento antes de cada misión; coordina aviso con el CICR (observador del ELC Putumayo) y revisa las Alertas Tempranas vigentes de la Defensoría. Exige movimientos en dos vehículos en la vía Mocoa-Pasto y Puerto Asís-La Hormiga; nunca pernoctes en corregimientos en disputa de Puerto Guzmán o Valle del Guamuez sin visto bueno del ELC. Implementa protocolo de check-in cada 2-3 horas, sin logos visibles en vehículos en zonas de control mixto, y una política clara de no-acompañamiento armado para preservar los principios humanitarios.","research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md","local"
"ngos-004","ngos","pre","generic","do-no-harm","How do we apply 'do no harm' when armed groups extort dike contractors as in La Mojana 2024?","¿Cómo aplicamos 'do no harm' cuando grupos armados extorsionan a los contratistas de diques como en La Mojana 2024?","The Defensoría del Pueblo and ACAPS documented in 2024 that AGC extort contractors at Cara de Gato, raising costs and delays. NGOs should never directly contract local providers without due diligence on conflict-ownership; require a beneficial-ownership check, screen against UN/OFAC lists, and rotate suppliers to avoid concentrating economic power. Avoid sub-grants to actors that are visibly aligned with armed groups; if local procurement risks fueling extortion, switch to centralized procurement out of Sincelejo or Montería. Document any access-payment pressure to OCHA Acceso and CICR; never normalize 'vacunas' as a line item.","La Defensoría del Pueblo y ACAPS documentaron en 2024 que las AGC extorsionan a contratistas en Cara de Gato, elevando costos y demoras. Las ONG nunca deben contratar proveedores locales sin debida diligencia sobre el control del conflicto; exige verificación de beneficiario real, cruce con listas ONU/OFAC y rotación de proveedores para no concentrar poder económico. Evita sub-grants a actores visiblemente alineados con grupos armados; si la compra local puede alimentar la extorsión, centraliza compras desde Sincelejo o Montería. Documenta cualquier presión de pago de acceso ante OCHA Acceso y el CICR; nunca normalices la 'vacuna' como rubro presupuestal.","research/download-md/ACAPS-2024-La-Mojana-Flooding.md","local"
"ngos-005","ngos","pre","la-mojana","community-engagement","How should we integrate with Alianza Común La Mojana before launching a program?","¿Cómo deberíamos articularnos con la Alianza Común La Mojana antes de lanzar un programa?","Alianza Común La Mojana is the community-led platform of 300+ JACs convened in Sincelejito (Majagual) and is now an interlocutor with UNGRD and Fondo Adaptación. Present your project to the Alianza assembly before signing distribution contracts, not after; their priority list is the de facto Acuerdo de Acción anticipada de la AAP/Flagship Initiative methodology that UNICEF, FAO, OPS, World Vision and OCHA used in May 2024. Negotiate community-led targeting with the JAC presidents rather than top-down listings — in Guaranda the cruce de información between population registries and JAC was the practice that reduced duplications. Localizing through the Alianza is also a protective strategy in conflict-affected zones.","La Alianza Común La Mojana es la plataforma comunitaria de 300+ JACs convocada en Sincelejito (Majagual) y hoy es interlocutora con UNGRD y Fondo Adaptación. Presenta tu proyecto en la asamblea de la Alianza antes de firmar contratos de distribución, no después; su listado de prioridades es el acuerdo de acción de hecho dentro de la metodología AAP/Iniciativa Flagship que UNICEF, FAO, OPS, World Vision y OCHA usaron en mayo 2024. Negocia la focalización con las presidencias de JAC y no con listados verticales — en Guaranda el cruce de información entre registros poblacionales y JAC fue la práctica que redujo duplicaciones. Localizar a través de la Alianza es además una estrategia de protección en zonas con conflicto.","research/download-md/OCHA-La-Mojana-Factsheet-No1-19062025.md","local"
"ngos-006","ngos","pre","generic","local-partner-due-diligence","What due-diligence checks should we run on a national NGO partner before sub-granting?","¿Qué verificaciones de debida diligencia debemos hacer a un socio ONG nacional antes de sub-otorgarle?","Run a four-layer check: legal (Cámara de Comercio registration, RUT, no findings in Procuraduría/Contraloría); financial (audited statements, segregation of duties, internal controls — at minimum a Hawk-CAP or 4-quadrant capacity assessment); safeguarding (PSEA policy, complaints mechanism, code of conduct, criminal-record checks for staff working with NNA); and conflict (no public alignment with parties to the conflict, no donor flags). For sub-grants over USD 50k align with CERF / IFRC PEAR templates. Don't skip safeguarding for small partners — Save the Children, World Vision and Plan International require evidence of PSEA training before any contract is signed.","Haz una revisión en cuatro capas: legal (Cámara de Comercio, RUT, sin hallazgos en Procuraduría/Contraloría); financiera (estados auditados, segregación de funciones, controles internos — al menos un Hawk-CAP o evaluación de capacidad de 4 cuadrantes); salvaguardia (política PSEA, mecanismo de quejas, código de conducta, antecedentes penales para personal que trabaja con NNA); y conflicto (sin alineamiento público con partes del conflicto, sin alertas de donantes). Para sub-grants sobre USD 50k alinea con plantillas CERF / IFRC PEAR. No saltes la salvaguardia con socios pequeños — Save the Children, World Vision y Plan International exigen evidencia de capacitación PSEA antes de firmar cualquier contrato.","",""
"ngos-007","ngos","pre","generic","community-risk-mapping","How do we run a community-based risk mapping that is actually useful?","¿Cómo realizamos un mapeo de riesgos comunitario que realmente sirva?","Use a participatory cartography exercise with the JAC, autoridades tradicionales (cabildos in Putumayo) and key informants — women, NNA, personas con discapacidad, adultos mayores — separately, then triangulate. Map: rutas de evacuación, puntos altos seguros, fuentes de agua segura, infraestructura crítica (escuela, puesto de salud, acueducto), zonas de filtración del dique, areas under armed-group control. Cross-reference with UNGRD Atlas de Riesgos and IDEAM flood frequency layers; mark known-recurrence zones from the Sentinel-1 archive. Produce one community-version (printed, simple icons) and one technical-version (georeferenced) and leave both with the JAC and CMGRD.","Usa una cartografía participativa con la JAC, autoridades tradicionales (cabildos en Putumayo) e informantes clave — mujeres, NNA, personas con discapacidad, adultos mayores — por separado y luego triangula. Mapea: rutas de evacuación, puntos altos seguros, fuentes de agua segura, infraestructura crítica (escuela, puesto de salud, acueducto), zonas de filtración del dique, áreas bajo control de grupos armados. Cruza con el Atlas de Riesgos de UNGRD y las capas de frecuencia de inundación del IDEAM; marca zonas de recurrencia conocida del archivo Sentinel-1. Produce una versión comunitaria (impresa, íconos simples) y una técnica (georreferenciada) y deja ambas con la JAC y el CMGRD.","research/water-crisis-colombia.md|research/flood-tagging-and-reference-points.md","local|local"
"ngos-008","ngos","pre","la-mojana","training","How do we train promotores comunitarios as focal points for WASH and protection in La Mojana?","¿Cómo capacitamos a promotores comunitarios como focales WASH y protección en La Mojana?","Build on UNICEF's 2022-2023 model: 7 comités or rural action boards for water and adaptation to climate change with 110+ people trained through 30+ theoretical-practical workshops, including pump operation and basic chlorination. Add modules on PFA (psychological first aid), GBV referral pathway, child-protection alerts, and PSEA reporting. Pair WASH and protection focal points so a single trusted contact per community can flag both a broken acueducto and a protection concern. Pay per-diem only for events that include real skill-building; recurring 'taller cobrado' is a localization anti-pattern. Renew refreshers each dry season.","Construye sobre el modelo UNICEF 2022-2023: 7 comités o juntas rurales de acción para agua y adaptación al cambio climático con 110+ personas capacitadas en 30+ talleres teórico-prácticos, incluyendo operación de bombas y cloración básica. Agrega módulos de PAP (primeros auxilios psicológicos), ruta de remisión VBG, alertas de protección infantil y reporte PSEA. Empareja focales WASH y protección para que un solo contacto de confianza por comunidad pueda alertar tanto un acueducto roto como una preocupación de protección. Paga viáticos solo en eventos con desarrollo real de capacidad; el 'taller cobrado' recurrente es un antipatrón de localización. Renueva refrescos cada temporada seca.","research/download-md/CERF-2022-La-Mojana-Rapid-Response.md","local"
"ngos-009","ngos","pre","generic","cash-feasibility","When is a cash-and-voucher feasibility study justified before a flood?","¿Cuándo se justifica un estudio de factibilidad de efectivo y bonos antes de una inundación?","Run the Cash Feasibility Assessment (CFA) before the rainy season starts so you can switch modality fast. Check: market functionality (do shops still operate when access roads flood?), agente bancario / corresponsal density, mobile-money penetration (Movii, Daviplata, Nequi), beneficiary preference, protection risks of cash-in-hand, and price-monitoring baseline. In La Mojana 2024 ACAPS reported the public market in Guaranda, Majagual, Sucre, Caimito and San Benito Abad was likely non-functional in May because the area was flooded — that is a hard signal that cash alone won't work; mixed in-kind + voucher is more realistic. Re-run the assessment per phase: cash works less well during peak inundation than during pre or post phases.","Realiza la Evaluación de Factibilidad de Efectivo (CFA) antes de que arranque la temporada de lluvias para poder cambiar de modalidad con rapidez. Revisa: funcionalidad del mercado (¿siguen operando las tiendas cuando las vías se inundan?), densidad de corresponsal bancario, penetración de billeteras móviles (Movii, Daviplata, Nequi), preferencia de la población, riesgos de protección por dinero en mano y línea base de monitoreo de precios. En La Mojana 2024 ACAPS reportó que el mercado público en Guaranda, Majagual, Sucre, Caimito y San Benito Abad probablemente no funcionaba en mayo porque el área estaba inundada — es una señal dura de que el efectivo solo no funciona; lo realista es mixto especie + bono. Re-evalúa por fase: el efectivo opera peor en pico de inundación que en pre o post.","research/download-md/ACAPS-2024-La-Mojana-Flooding.md","local"
"ngos-010","ngos","pre","putumayo","cross-border","How do we coordinate cross-border response with Ecuador for refugees in Putumayo?","¿Cómo coordinamos respuesta transfronteriza con Ecuador para personas refugiadas en Putumayo?","Putumayo borders Ecuador (San Miguel-General Farfán) and Peru, and is a strategic narcotrafficking corridor. Coordinate with ACNUR, OIM and the Mecanismo de Protección Transfronterizo on both sides; share early-warning info with R4V (Plataforma de Coordinación Interagencial para Refugiados y Migrantes) for Venezuelan flows (~11,457 in Putumayo) and with Ecuador's RV4 chapter. NRC and JRS run information-counselling-legal aid (ICLA) programs that help solicitantes de refugio document tránsito; pre-position legal-aid surge capacity in Puerto Asís, Valle del Guamuez and San Miguel which the ELC Putumayo prioritized for migration flows. Do not assume the same person is only refugee or only flood-affected — many are both.","Putumayo limita con Ecuador (San Miguel-General Farfán) y Perú, y es corredor estratégico del narcotráfico. Coordina con ACNUR, OIM y el Mecanismo de Protección Transfronterizo en ambos lados; comparte información de alerta temprana con R4V (Plataforma de Coordinación Interagencial para Refugiados y Migrantes) para flujos venezolanos (~11.457 en Putumayo) y con el capítulo RV4 de Ecuador. NRC y JRS operan programas ICLA (información, consejería, asistencia legal) que ayudan a solicitantes de refugio a documentar tránsito; preposiciona capacidad de surge legal en Puerto Asís, Valle del Guamuez y San Miguel, priorizados por el ELC Putumayo para flujos migratorios. No asumas que la persona es solo refugiada o solo afectada por inundación — muchas son ambas.","research/download-md/OCHA-Putumayo-Briefing-Departamental-2025.md","local"
